 ChipID Half   Layer0   Layer1  Layer2   Layer3   Layer4  Layer5  Layer6   Layer7   Layer8  Pseaudo_Eff
    464   h0 0.666667 0.666667   0.800 0.700000 1.000000       1       1 0.769231 0.785714     0.150427
    465   h0 0.666667 0.666667   0.800 0.700000 1.000000       1       1 0.769231 0.785714     0.150427
    466   h0 0.666667 0.666667   0.800 0.700000 1.000000       1       1 0.769231 0.785714     0.150427
    467   h0 0.666667 0.666667   0.720 0.500000 1.000000       1       1 0.384615 0.656682     0.040411
    812   h1 0.596491 0.947368   0.695 0.723810 0.954545       1       1 0.846154 0.785714     0.180403
    813   h1 0.666667 1.000000   0.700 0.800000 1.000000       1       1 0.846154 0.785714     0.248205
    814   h1 0.666667 1.000000   0.700 0.800000 1.000000       1       1 0.846154 0.785714     0.248205
    815   h1 0.795322 0.736842   0.950 0.642857 0.668182       1       1 0.769231 0.785714     0.144534
    816   h1 0.888889 0.777778   1.000 0.700000 0.700000       1       1 0.769231 0.785714     0.204748
    817   h1 0.888889 0.777778   1.000 0.700000 0.700000       1       1 0.769231 0.785714     0.204748
    818   h1 0.596491 0.947368   0.700 0.666667 0.954545       1       1 0.769231 0.857143     0.165973
    819   h1 0.666667 1.000000   0.700 0.700000 1.000000       1       1 0.769231 0.857143     0.215385
    820   h1 0.666667 1.000000   0.700 0.700000 1.000000       1       1 0.769231 0.857143     0.215385
    821   h1 0.894737 0.631579   0.800 0.952381 0.668182       1       1 0.923077 0.857143     0.227619
    822   h1 1.000000 0.666667   0.800 1.000000 0.700000       1       1 0.923077 0.788018     0.271563
    823   h1 1.000000 0.666667   0.800 1.000000 0.700000       1       1 0.923077 0.785714     0.270769
    860   h1 0.795322 0.631579   0.665 0.952381 0.763636       1       1 0.769231 0.785714     0.146829
    861   h1 0.888889 0.666667   0.700 1.000000 0.800000       1       1 0.769231 0.785714     0.200570
    862   h1 0.888889 0.666667   0.700 1.000000 0.800000       1       1 0.769231 0.785714     0.200570
    863   h1 0.888889 0.666667   0.700 1.000000 0.800000       1       1 0.620879 0.785714     0.161888
    864   h1 0.596491 0.947368   0.855 0.666667 0.954545       1       1 0.769231 0.785714     0.185830
    865   h1 0.666667 1.000000   0.900 0.700000 1.000000       1       1 0.769231 0.785714     0.253846
    866   h1 0.666667 1.000000   0.900 0.700000 1.000000       1       1 0.769231 0.785714     0.253846
    867   h1 0.666667 1.000000   0.900 0.700000 1.000000       1       1 0.769231 0.785714     0.253846
    868   h1 0.842105 0.573099   0.900 0.642857 0.954545       1       1 0.846154 0.737327     0.166287
    869   h1 1.000000 0.777778   1.000 0.700000 1.000000       1       1 0.846154 0.785714     0.361966
    870   h1 1.000000 0.777778   1.000 0.700000 1.000000       1       1 0.769231 0.785714     0.329060
    871   h1 1.000000 0.777778   1.000 0.676190 1.000000       1       1 0.846154 0.767281     0.341451
    872   h1 0.596491 0.666667   0.700 0.700000 0.700000       1       1 0.923077 0.778802     0.098055
    873   h1 0.666667 0.666667   0.700 0.700000 0.700000       1       1 0.923077 0.785714     0.110564
    874   h1 0.666667 0.666667   0.700 0.700000 0.700000       1       1 0.923077 0.785714     0.110564
    875   h1 0.666667 0.666667   0.700 0.700000 0.700000       1       1 0.923077 0.785714     0.110564
    876   h1 0.695906 1.000000   0.700 1.000000 0.700000       1       1 1.000000 0.760369     0.259281
    877   h1 0.777778 1.000000   0.700 1.000000 0.700000       1       1 1.000000 0.785714     0.299444
    878   h1 0.777778 1.000000   0.700 1.000000 0.700000       1       1 1.000000 0.785714     0.299444
    879   h1 0.777778 1.000000   0.700 1.000000 0.700000       1       1 1.000000 0.785714     0.299444
    880   h1 0.894737 0.649123   1.000 0.700000 1.000000       1       1 0.846154 0.744240     0.256025
    881   h1 1.000000 0.666667   1.000 0.700000 1.000000       1       1 0.846154 0.785714     0.310256
    882   h1 1.000000 0.666667   1.000 0.700000 1.000000       1       1 0.846154 0.785714     0.310256
    883   h1 1.000000 0.666667   1.000 0.700000 1.000000       1       1 0.846154 0.767281     0.302978
    884   h1 0.479532 0.736842   0.625 0.647619 0.663636       1       1 0.747253 0.702765     0.049842
    885   h1 0.666667 1.000000   0.700 0.800000 0.700000       1       1 0.769231 0.785714     0.157949
    886   h1 0.666667 1.000000   0.700 0.800000 0.700000       1       1 0.769231 0.785714     0.157949
    887   h1 0.666667 1.000000   0.700 0.800000 0.700000       1       1 0.769231 0.785714     0.157949
    888   h1 0.947368 0.947368   0.700 0.952381 0.668182       1       1 0.769231 0.785714     0.241636
    889   h1 1.000000 1.000000   0.700 1.000000 0.700000       1       1 0.769231 0.788018     0.297022
    890   h1 1.000000 1.000000   0.700 1.000000 0.700000       1       1 0.769231 0.788018     0.297022
    891   h1 1.000000 1.000000   0.700 1.000000 0.700000       1       1 0.769231 0.785714     0.296154
    892   h1 0.695906 0.631579   1.000 0.761905 0.668182       1       1 0.769231 0.857143     0.147531
    893   h1 0.777778 0.666667   1.000 0.800000 0.700000       1       1 0.769231 0.857143     0.191453
    894   h1 0.777778 0.666667   1.000 0.800000 0.700000       1       1 0.769231 0.790323     0.176528
    895   h1 0.777778 0.666667   1.000 0.900000 0.700000       1       1 0.670330 0.714286     0.156410
    916   h1 0.894737 0.631579   0.900 0.661905 0.668182       1       1 0.769231 0.785714     0.135949
    917   h1 1.000000 0.666667   0.900 0.700000 0.700000       1       1 0.769231 0.785714     0.177692
    918   h1 1.000000 0.666667   0.900 0.700000 0.700000       1       1 0.769231 0.785714     0.177692
    919   h1 1.000000 0.666667   0.900 0.700000 0.700000       1       1 0.769231 0.785714     0.177692
    920   h1 1.000000 0.666667   0.810 0.500000 0.700000       1       1 0.376374 0.785714     0.055891
    921   h1 0.298246 0.947368   0.510 0.904762 0.763636       1       1 0.706044 0.619816     0.043569
    922   h1 0.631579 1.000000   0.690 1.000000 0.800000       1       1 0.769231 0.785714     0.210711
    923   h1 0.666667 1.000000   0.700 1.000000 0.800000       1       1 0.769231 0.785714     0.225641
    924   h1 0.666667 1.000000   0.700 1.000000 0.800000       1       1 0.769231 0.785714     0.225641
    925   h1 0.666667 1.000000   0.650 0.714286 0.800000       1       1 0.398352 0.764977     0.075457
    926   h1 0.894737 0.631579   1.000 0.900000 0.668182       1       1 0.620879 0.714286     0.150709
    927   h1 1.000000 0.666667   1.000 0.900000 0.700000       1       1 0.769231 0.714286     0.230769
    928   h1 1.000000 0.666667   1.000 1.000000 0.700000       1       1 0.769231 0.714286     0.256410
    929   h1 1.000000 0.666667   1.000 1.000000 0.700000       1       1 0.769231 0.781106     0.280397
    930   h1 1.000000 0.666667   0.900 0.714286 0.700000       1       1 0.500000 0.785714     0.117857
    931   h1 0.619883 0.736842   0.800 0.700000 0.954545       1       1 0.769231 0.785714     0.147567
    932   h1 0.666667 0.777778   0.800 0.700000 1.000000       1       1 0.769231 0.788018     0.176013
    933   h1 0.666667 0.777778   0.800 0.700000 1.000000       1       1 0.769231 0.854839     0.190938
    934   h1 0.666667 0.777778   0.800 0.700000 1.000000       1       1 0.769231 0.790323     0.176528
    935   h1 0.666667 0.777778   0.720 0.500000 1.000000       1       1 0.370879 0.721198     0.049929
