 ChipID Half   Layer0   Layer1  Layer2   Layer3  Layer4   Layer5  Layer6   Layer7   Layer8  Pseaudo_Eff
    464   h0 0.666667 0.666667   0.800 0.700000       1 0.700000       1 0.769231 0.785714     0.105299
    465   h0 0.666667 0.666667   0.800 0.700000       1 0.700000       1 0.769231 0.785714     0.105299
    466   h0 0.666667 0.666667   0.800 0.700000       1 0.700000       1 0.769231 0.785714     0.105299
    467   h0 0.666667 0.666667   0.720 0.500000       1 0.700000       1 0.384615 0.656682     0.028288
    812   h1 0.596491 0.947368   0.695 0.723810       1 0.800000       1 0.846154 0.785714     0.151195
    813   h1 0.666667 1.000000   0.700 0.800000       1 0.750000       1 0.846154 0.785714     0.186154
    814   h1 0.666667 1.000000   0.700 0.800000       1 0.686364       1 0.846154 0.785714     0.170359
    815   h1 0.795322 0.736842   0.950 0.642857       1 0.900000       1 0.769231 0.785714     0.194679
    816   h1 0.888889 0.777778   1.000 0.700000       1 0.900000       1 0.769231 0.785714     0.263248
    817   h1 0.888889 0.777778   1.000 0.700000       1 0.900000       1 0.769231 0.785714     0.263248
    818   h1 0.596491 0.947368   0.700 0.666667       1 0.800000       1 0.769231 0.857143     0.139101
    819   h1 0.666667 1.000000   0.700 0.700000       1 0.800000       1 0.769231 0.857143     0.172308
    820   h1 0.666667 1.000000   0.700 0.700000       1 0.800000       1 0.769231 0.857143     0.172308
    821   h1 0.894737 0.631579   0.800 0.952381       1 0.700000       1 0.923077 0.857143     0.238458
    822   h1 1.000000 0.666667   0.800 1.000000       1 0.650000       1 0.923077 0.788018     0.252166
    823   h1 1.000000 0.666667   0.800 1.000000       1 0.595455       1 0.923077 0.785714     0.230330
    860   h1 0.795322 0.631579   0.665 0.952381       1 1.000000       1 0.769231 0.785714     0.192276
    861   h1 0.888889 0.666667   0.700 1.000000       1 1.000000       1 0.769231 0.785714     0.250712
    862   h1 0.888889 0.666667   0.700 1.000000       1 1.000000       1 0.769231 0.785714     0.250712
    863   h1 0.888889 0.666667   0.700 1.000000       1 1.000000       1 0.620879 0.785714     0.202361
    864   h1 0.596491 0.947368   0.855 0.666667       1 0.700000       1 0.769231 0.785714     0.136275
    865   h1 0.666667 1.000000   0.900 0.700000       1 0.700000       1 0.769231 0.785714     0.177692
    866   h1 0.666667 1.000000   0.900 0.700000       1 0.700000       1 0.769231 0.785714     0.177692
    867   h1 0.666667 1.000000   0.900 0.700000       1 0.700000       1 0.769231 0.785714     0.177692
    868   h1 0.842105 0.573099   0.900 0.642857       1 0.677273       1 0.846154 0.737327     0.117985
    869   h1 1.000000 0.777778   1.000 0.700000       1 0.700000       1 0.846154 0.785714     0.253376
    870   h1 1.000000 0.777778   1.000 0.700000       1 0.700000       1 0.769231 0.785714     0.230342
    871   h1 1.000000 0.777778   1.000 0.676190       1 0.700000       1 0.846154 0.767281     0.239016
    872   h1 0.596491 0.666667   0.700 0.700000       1 0.700000       1 0.923077 0.778802     0.098055
    873   h1 0.666667 0.666667   0.700 0.700000       1 0.700000       1 0.923077 0.785714     0.110564
    874   h1 0.666667 0.666667   0.700 0.700000       1 0.700000       1 0.923077 0.785714     0.110564
    875   h1 0.666667 0.666667   0.700 0.700000       1 0.700000       1 0.923077 0.785714     0.110564
    876   h1 0.695906 1.000000   0.700 1.000000       1 1.000000       1 1.000000 0.760369     0.370402
    877   h1 0.777778 1.000000   0.700 1.000000       1 1.000000       1 1.000000 0.785714     0.427778
    878   h1 0.777778 1.000000   0.700 1.000000       1 1.000000       1 1.000000 0.785714     0.427778
    879   h1 0.777778 1.000000   0.700 1.000000       1 1.000000       1 1.000000 0.785714     0.427778
    880   h1 0.894737 0.649123   1.000 0.700000       1 0.700000       1 0.846154 0.744240     0.179217
    881   h1 1.000000 0.666667   1.000 0.700000       1 0.700000       1 0.846154 0.785714     0.217179
    882   h1 1.000000 0.666667   1.000 0.700000       1 0.700000       1 0.846154 0.785714     0.217179
    883   h1 1.000000 0.666667   1.000 0.700000       1 0.700000       1 0.846154 0.767281     0.212084
    884   h1 0.479532 0.736842   0.625 0.647619       1 0.618182       1 0.747253 0.702765     0.046429
    885   h1 0.666667 1.000000   0.700 0.800000       1 0.700000       1 0.769231 0.785714     0.157949
    886   h1 0.666667 1.000000   0.700 0.800000       1 0.700000       1 0.769231 0.785714     0.157949
    887   h1 0.666667 1.000000   0.700 0.800000       1 0.700000       1 0.769231 0.785714     0.157949
    888   h1 0.947368 0.947368   0.700 0.952381       1 0.600000       1 0.769231 0.785714     0.216980
    889   h1 1.000000 1.000000   0.700 1.000000       1 0.650000       1 0.769231 0.788018     0.275806
    890   h1 1.000000 1.000000   0.700 1.000000       1 0.695455       1 0.769231 0.788018     0.295094
    891   h1 1.000000 1.000000   0.700 1.000000       1 0.600000       1 0.769231 0.785714     0.253846
    892   h1 0.695906 0.631579   1.000 0.761905       1 1.000000       1 0.769231 0.857143     0.220795
    893   h1 0.777778 0.666667   1.000 0.800000       1 1.000000       1 0.769231 0.857143     0.273504
    894   h1 0.777778 0.666667   1.000 0.800000       1 1.000000       1 0.769231 0.790323     0.252183
    895   h1 0.777778 0.666667   1.000 0.900000       1 1.000000       1 0.670330 0.714286     0.223443
    916   h1 0.894737 0.631579   0.900 0.661905       1 0.800000       1 0.769231 0.785714     0.162769
    917   h1 1.000000 0.666667   0.900 0.700000       1 0.800000       1 0.769231 0.785714     0.203077
    918   h1 1.000000 0.666667   0.900 0.700000       1 0.800000       1 0.769231 0.785714     0.203077
    919   h1 1.000000 0.666667   0.900 0.700000       1 0.800000       1 0.769231 0.785714     0.203077
    920   h1 1.000000 0.666667   0.810 0.500000       1 0.800000       1 0.376374 0.785714     0.063876
    921   h1 0.298246 0.947368   0.510 0.904762       1 1.000000       1 0.706044 0.619816     0.057055
    922   h1 0.631579 1.000000   0.690 1.000000       1 1.000000       1 0.769231 0.785714     0.263389
    923   h1 0.666667 1.000000   0.700 1.000000       1 1.000000       1 0.769231 0.785714     0.282051
    924   h1 0.666667 1.000000   0.700 1.000000       1 1.000000       1 0.769231 0.785714     0.282051
    925   h1 0.666667 1.000000   0.650 0.714286       1 1.000000       1 0.398352 0.764977     0.094321
    926   h1 0.894737 0.631579   1.000 0.900000       1 1.000000       1 0.620879 0.714286     0.225551
    927   h1 1.000000 0.666667   1.000 0.900000       1 1.000000       1 0.769231 0.714286     0.329670
    928   h1 1.000000 0.666667   1.000 1.000000       1 1.000000       1 0.769231 0.714286     0.366300
    929   h1 1.000000 0.666667   1.000 1.000000       1 1.000000       1 0.769231 0.781106     0.400567
    930   h1 1.000000 0.666667   0.900 0.714286       1 1.000000       1 0.500000 0.785714     0.168367
    931   h1 0.619883 0.736842   0.800 0.700000       1 0.700000       1 0.769231 0.785714     0.108216
    932   h1 0.666667 0.777778   0.800 0.700000       1 0.700000       1 0.769231 0.788018     0.123209
    933   h1 0.666667 0.777778   0.800 0.700000       1 0.700000       1 0.769231 0.854839     0.133657
    934   h1 0.666667 0.777778   0.800 0.700000       1 0.700000       1 0.769231 0.790323     0.123570
    935   h1 0.666667 0.777778   0.720 0.500000       1 0.700000       1 0.370879 0.721198     0.034950
