ChipID	Half	Layer0	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Peff(%)	Peff_Original(%)
332	h0	1	1	0.95	1	1	0.0	1.0	0.759	0.968	0.0	60.58
333	h0	1	1	1.0	1	1	0.0	1.0	0.769	1.0	0.0	69.9
334	h0	1	1	1.0	1	1	0.0	1.0	0.769	1.0	0.0	63.52
335	h0	1	1	0.665	1	1	0.0	0.846	0.743	0.968	0.0	35.12
336	h0	1	1	0.7	1	1	0.0	0.846	0.769	1.0	0.0	41.4
337	h0	1	1	0.7	1	1	0.0	0.846	0.769	1.0	0.0	41.4
338	h0	1	1	0.76	1	1	0.694	0.742	0.891	0.968	33.75	33.75
339	h0	1	1	0.765	1	1	0.727	0.846	0.923	1.0	43.43	43.43
340	h0	1	1	0.7	1	1	0.727	0.846	0.923	1.0	39.74	39.74
341	h0	1	1	0.95	1	1	0.694	1.0	0.966	1.0	63.69	63.69
342	h0	1	1	1.0	1	1	0.727	1.0	1.0	1.0	72.7	72.7
343	h0	1	1	1.0	1	1	0.719	1.0	1.0	1.0	71.9	71.9
356	h0	1	1	0.76	1	1	0.0	0.769	0.743	0.968	0.0	29.17
357	h0	1	1	0.8	1	1	0.0	0.769	0.769	1.0	0.0	34.39
358	h0	1	1	0.8	1	1	0.0	0.769	0.769	1.0	0.0	34.39
359	h0	1	1	0.8	1	1	0.0	0.725	0.316	1.0	0.0	13.32
360	h0	1	1	0.95	1	1	0.0	0.769	0.817	0.968	0.0	45.12
361	h0	1	1	1.0	1	1	0.0	0.769	0.846	1.0	0.0	53.22
362	h0	1	1	1.0	1	1	0.0	0.769	0.846	1.0	0.0	53.22
363	h0	1	1	1.0	1	1	0.0	0.769	0.846	1.0	0.0	53.22
364	h0	1	1	0.64	1	1	0.711	0.769	0.891	1.0	31.18	31.18
365	h0	1	1	0.8	1	1	0.727	0.769	0.923	1.0	41.28	41.28
366	h0	1	1	0.8	1	1	0.727	0.769	0.923	1.0	41.28	41.28
367	h0	1	1	0.8	1	1	0.727	0.769	0.923	1.0	41.28	41.28
368	h0	1	1	0.7	1	1	1.0	0.923	0.769	1.0	49.69	49.69
369	h0	1	1	0.7	1	1	1.0	0.923	0.769	1.0	49.69	49.69
370	h0	1	1	0.7	1	1	1.0	0.923	0.769	1.0	49.69	49.69
371	h0	1	1	0.7	1	1	1.0	0.923	0.769	1.0	49.69	49.69
372	h0	1	1	1.0	1	1	0.727	1.0	0.769	1.0	55.91	55.91
373	h0	1	1	1.0	1	1	0.727	1.0	0.769	1.0	55.91	55.91
374	h0	1	1	1.0	1	1	0.727	1.0	0.769	1.0	55.91	55.91
375	h0	1	1	1.0	1	1	0.727	1.0	0.769	1.0	55.91	55.91
376	h0	1	1	0.7	1	1	0.727	0.846	0.769	1.0	33.11	33.11
377	h0	1	1	0.7	1	1	0.727	0.846	0.769	1.0	33.11	33.11
378	h0	1	1	0.7	1	1	0.727	0.846	0.769	1.0	33.11	33.11
379	h0	1	1	0.7	1	1	0.727	0.846	0.769	1.0	33.11	33.11
380	h0	1	1	0.595	1	1	1.0	0.75	0.703	0.968	30.37	30.37
381	h0	1	1	0.7	1	1	1.0	0.769	0.769	1.0	41.4	41.4
382	h0	1	1	0.7	1	1	1.0	0.769	0.769	1.0	41.4	41.4
383	h0	1	1	0.7	1	1	1.0	0.769	0.769	1.0	41.4	41.4
384	h0	1	1	0.855	1	1	0.781	0.769	0.743	0.968	36.93	36.93
385	h0	1	1	0.9	1	1	0.818	0.769	0.769	1.0	43.54	43.54
386	h0	1	1	0.9	1	1	0.818	0.769	0.769	1.0	43.54	43.54
387	h0	1	1	0.9	1	1	0.818	0.769	0.769	1.0	43.54	43.54
388	h0	1	1	0.855	1	1	0.955	0.766	0.817	0.968	49.46	49.46
389	h0	1	1	0.9	1	1	1.0	0.769	0.846	1.0	58.55	58.55
390	h0	1	1	0.9	1	1	1.0	0.769	0.846	1.0	58.55	58.55
391	h0	1	1	0.9	1	1	1.0	0.725	0.846	1.0	55.2	55.2
428	h0	1	1	0.665	1	1	0.0	0.769	0.891	1.0	0.0	43.51
429	h0	1	1	0.7	1	1	0.0	0.769	0.923	1.0	0.0	49.69
430	h0	1	1	0.7	1	1	0.0	0.769	0.923	1.0	0.0	49.69
431	h0	1	1	0.7	1	1	0.0	0.769	0.923	1.0	0.0	49.69
432	h0	1	1	0.56	1	1	0.0	0.412	0.382	1.0	0.0	8.81
433	h0	1	1	0.95	1	1	0.521	0.67	0.966	1.0	32.03	42.67
434	h0	1	1	1.0	1	1	0.545	0.769	1.0	1.0	41.91	55.91
435	h0	1	1	1.0	1	1	0.545	0.769	1.0	1.0	41.91	55.91
436	h0	1	1	1.0	1	1	0.545	0.769	1.0	1.0	41.91	55.91
437	h0	1	1	0.8	1	1	0.545	0.484	0.414	1.0	8.74	11.65
438	h0	1	1	0.95	1	1	0.781	0.58	0.472	0.968	19.66	19.66
439	h0	1	1	1.0	1	1	0.818	0.769	0.769	1.0	48.37	48.37
440	h0	1	1	1.0	1	1	0.818	0.769	0.769	1.0	48.37	48.37
441	h0	1	1	1.0	1	1	0.818	0.769	0.769	1.0	48.37	48.37
442	h0	1	1	0.8	1	1	0.818	0.519	0.589	1.0	20.0	20.0
443	h0	1	1	0.665	1	1	0.694	0.769	0.743	1.0	26.37	26.37
444	h0	1	1	0.7	1	1	0.727	0.769	0.769	1.0	30.09	30.09
445	h0	1	1	0.7	1	1	0.727	0.769	0.769	1.0	30.09	30.09
446	h0	1	1	0.7	1	1	0.727	0.769	0.769	1.0	30.09	30.09
447	h0	1	1	0.56	1	1	0.727	0.412	0.318	1.0	5.33	5.33
800	h1	1	1	0.95	1	1	0.781	1.0	0.756	0.968	54.3	54.3
801	h1	1	1	1.0	1	1	0.818	1.0	0.769	1.0	62.9	62.9
802	h1	1	1	1.0	1	1	0.744	1.0	0.769	1.0	57.21	57.21
803	h1	1	1	0.76	1	1	0.955	0.846	0.743	0.968	44.16	44.16
804	h1	1	1	0.8	1	1	1.0	0.846	0.769	1.0	52.05	52.05
805	h1	1	1	0.8	1	1	1.0	0.846	0.769	1.0	52.05	52.05
806	h1	1	1	0.665	1	1	0.694	0.742	0.891	1.0	30.51	30.51
807	h1	1	1	0.7	1	1	0.727	0.769	0.923	1.0	36.12	36.12
808	h1	1	1	0.7	1	1	0.727	0.769	0.923	1.0	36.12	36.12
809	h1	1	1	0.95	1	1	0.694	0.923	0.966	0.968	56.9	56.9
810	h1	1	1	1.0	1	1	0.727	0.923	1.0	1.0	67.1	67.1
811	h1	1	1	1.0	1	1	0.719	0.923	1.0	1.0	66.36	66.36
824	h1	1	1	0.57	1	1	0.694	0.745	0.743	0.968	21.2	21.2
825	h1	1	1	0.6	1	1	0.727	0.769	0.769	1.0	25.8	25.8
826	h1	1	1	0.6	1	1	0.727	0.769	0.769	1.0	25.8	25.8
