 ChipID Half   Layer0  Layer1   Layer2   Layer3  Layer4   Layer5  Layer6   Layer7   Layer8  Pseaudo_Eff
    344   h0 0.434783       1 0.000000 0.480000       1 0.000000       1 0.062500 0.000000     0.000000
    345   h0 0.454545       1 0.000000 0.500000       1 0.000000       1 0.062500 0.000000     0.000000
    346   h0 0.355731       1 0.000000 0.280000       1 0.000000       1 0.044643 0.000000     0.000000
    347   h0 0.695652       1 0.960000 0.720000       1 0.962963       1 0.812500 0.764706     0.287689
    348   h0 0.727273       1 1.000000 0.750000       1 1.000000       1 0.812500 0.823529     0.364973
    349   h0 0.569170       1 0.640000 0.420000       1 0.407407       1 0.580357 0.390093     0.014111
    350   h0 0.695652       1 0.610909 0.240000       1 0.888889       1 0.125000 0.058824     0.000667
    351   h0 0.727273       1 0.636364 0.250000       1 0.923077       1 0.125000 0.058824     0.000785
    352   h0 0.600791       1 0.407273 0.140000       1 0.376068       1 0.089286 0.027864     0.000032
    353   h0 0.956522       1 0.436364 0.000000       1 0.074074       1 0.000000 0.000000     0.000000
    354   h0 1.000000       1 0.454545 0.000000       1 0.076923       1 0.000000 0.000000     0.000000
    355   h0 0.826087       1 0.290909 0.000000       1 0.031339       1 0.000000 0.000000     0.000000
    392   h0 0.956522       1 0.698182 0.800000       1 0.814815       1 0.812500 0.823529     0.291283
    393   h0 1.000000       1 0.727273 0.833333       1 0.846154       1 0.812500 0.823529     0.343137
    394   h0 1.000000       1 0.727273 0.448718       1 0.846154       1 0.580357 0.390093     0.062515
    395   h0 1.000000       1 0.669091 0.000000       1 0.501425       1 0.000000 0.000000     0.000000
    396   h0 0.695652       1 0.698182 0.960000       1 0.740741       1 0.812500 0.882353     0.247608
    397   h0 0.727273       1 0.727273 1.000000       1 0.769231       1 0.812500 0.860681     0.284523
    398   h0 0.727273       1 0.727273 1.000000       1 0.769231       1 0.687500 0.823529     0.230358
    399   h0 0.727273       1 0.669091 0.769231       1 0.455840       1 0.225000 0.238390     0.009152
    400   h0 0.909091       1 0.818182 0.750000       1 0.769231       1 0.812500 0.823529     0.287129
    401   h0 0.909091       1 0.818182 0.750000       1 0.769231       1 0.812500 0.823529     0.287129
    402   h0 0.909091       1 0.818182 0.680000       1 0.769231       1 0.792857 0.823529     0.254037
    403   h0 0.909091       1 0.654545 0.115385       1 0.598291       1 0.278571 0.043344     0.000496
    404   h0 0.727273       1 0.727273 0.833333       1 0.846154       1 0.875000 0.823529     0.268751
    405   h0 0.727273       1 0.727273 0.833333       1 0.846154       1 0.875000 0.823529     0.268751
    406   h0 0.727273       1 0.727273 0.833333       1 0.846154       1 0.875000 0.823529     0.268751
    407   h0 0.703557       1 0.461818 0.384615       1 0.188034       1 0.350000 0.068111     0.000560
    408   h0 0.727273       1 0.727273 1.000000       1 1.000000       1 0.875000 0.823529     0.381138
    409   h0 0.727273       1 0.727273 1.000000       1 1.000000       1 0.875000 0.823529     0.381138
    410   h0 0.727273       1 0.727273 1.000000       1 1.000000       1 0.875000 0.823529     0.381138
    411   h0 0.723320       1 0.490909 0.461538       1 0.222222       1 0.350000 0.065015     0.000829
    412   h0 1.000000       1 1.000000 0.750000       1 0.769231       1 0.812500 0.823529     0.386029
    413   h0 1.000000       1 1.000000 0.750000       1 0.769231       1 0.812500 0.823529     0.386029
    414   h0 1.000000       1 1.000000 0.750000       1 0.769231       1 0.812500 0.767802     0.359907
    415   h0 1.000000       1 0.680000 0.317308       1 0.142450       1 0.325000 0.038700     0.000387
    416   h0 0.727273       1 0.909091 0.750000       1 0.769231       1 0.812500 0.823529     0.255226
    417   h0 0.727273       1 0.909091 0.750000       1 0.769231       1 0.812500 0.823529     0.255226
    418   h0 0.727273       1 0.909091 0.730769       1 0.769231       1 0.787500 0.823529     0.241030
    419   h0 0.316206       1 0.181818 0.201923       1 0.643875       1 0.235714 0.255418     0.000450
    420   h0 0.956522       1 0.872727 0.960000       1 0.712251       1 0.812500 0.823529     0.381927
    421   h0 1.000000       1 0.909091 1.000000       1 0.769231       1 0.812500 0.823529     0.467914
    422   h0 1.000000       1 0.909091 1.000000       1 0.769231       1 0.687500 0.606811     0.291736
    423   h0 1.000000       1 0.836364 0.800000       1 0.455840       1 0.225000 0.119195     0.008180
    424   h0 0.695652       1 0.960000 0.720000       1 0.925926       1 0.812500 0.823529     0.297903
    425   h0 0.727273       1 1.000000 0.750000       1 1.000000       1 0.812500 0.823529     0.364973
    426   h0 0.632411       1 0.640000 0.420000       1 1.000000       1 0.580357 0.390093     0.038485
    427   h0 0.181818       1 0.000000 0.000000       1 0.592593       1 0.000000 0.000000     0.000000
    448   h0 0.695652       1 0.698182 0.720000       1 0.740741       1 0.812500 0.823529     0.173325
    449   h0 0.727273       1 0.727273 0.750000       1 0.769231       1 0.812500 0.823529     0.204181
    450   h0 0.727273       1 0.727273 0.750000       1 0.769231       1 0.812500 0.823529     0.204181
    451   h0 0.727273       1 0.669091 0.576923       1 0.643875       1 0.487500 0.572755     0.050471
    452   h0 0.189723       1 0.000000 0.000000       1 0.341880       1 0.000000 0.061920     0.000000
    453   h0 0.869565       1 0.960000 0.720000       1 0.740741       1 0.812500 0.823529     0.297903
    454   h0 0.909091       1 1.000000 0.750000       1 0.769231       1 0.812500 0.823529     0.350936
    455   h0 0.909091       1 1.000000 0.750000       1 0.769231       1 0.812500 0.823529     0.350936
    456   h0 0.909091       1 0.920000 0.600000       1 0.769231       1 0.487500 0.823529     0.154973
    457   h0 0.237154       1 0.000000 0.000000       1 0.569801       1 0.000000 0.108359     0.000000
    458   h0 0.695652       1 0.698182 0.720000       1 0.769231       1 0.812500 0.823529     0.179992
    459   h0 0.727273       1 0.727273 0.750000       1 0.769231       1 0.812500 0.823529     0.204181
    460   h0 0.727273       1 0.727273 0.750000       1 0.769231       1 0.812500 0.823529     0.204181
    461   h0 0.727273       1 0.669091 0.600000       1 0.769231       1 0.487500 0.823529     0.090166
    462   h0 0.189723       1 0.000000 0.000000       1 0.569801       1 0.000000 0.108359     0.000000
    463   h0 0.782609       1 0.698182 0.800000       1 0.732194       1 0.812500 0.823529     0.214157
    464   h0 0.818182       1 0.727273 0.833333       1 0.769231       1 0.812500 0.823529     0.255226
    465   h0 0.818182       1 0.727273 0.833333       1 0.769231       1 0.812500 0.856037     0.265301
    466   h0 0.818182       1 0.669091 0.666667       1 0.675214       1 0.487500 0.255418     0.030684
    467   h0 0.213439       1 0.000000 0.000000       1 0.398860       1 0.000000 0.000000     0.000000
    812   h1 0.434783       1 0.000000 0.400000       1 0.000000       1 0.062500 0.000000     0.000000
    813   h1 0.363636       1 0.000000 0.416667       1 0.059829       1 0.062500 0.000000     0.000000
    814   h1 0.300395       1 0.000000 0.216667       1 0.031339       1 0.042857 0.000000     0.000000
    815   h1 0.695652       1 0.960000 0.720000       1 1.000000       1 0.812500 0.764706     0.298754
    816   h1 0.727273       1 1.000000 0.750000       1 0.940171       1 0.812500 0.764706     0.318627
    817   h1 0.600791       1 0.600000 0.420000       1 0.376068       1 0.580357 0.342105     0.011304
    818   h1 0.695652       1 0.727273 0.333333       1 1.000000       1 0.187500 0.106811     0.003377
    819   h1 0.727273       1 0.727273 0.333333       1 0.940171       1 0.187500 0.058824     0.001828
    820   h1 0.600791       1 0.465455 0.173333       1 0.376068       1 0.133929 0.026316     0.000064
    821   h1 0.956522       1 0.436364 0.000000       1 0.000000       1 0.000000 0.000000     0.000000
    822   h1 1.000000       1 0.454545 0.000000       1 0.059829       1 0.000000 0.000000     0.000000
    823   h1 0.826087       1 0.290909 0.000000       1 0.031339       1 0.000000 0.000000     0.000000
    860   h1 0.956522       1 0.672727 0.880000       1 0.923077       1 0.812500 0.823529     0.349749
    861   h1 1.000000       1 0.727273 0.916667       1 0.923077       1 0.812500 0.823529     0.411765
    862   h1 1.000000       1 0.690909 0.476667       1 0.923077       1 0.557143 0.368421     0.062400
    863   h1 1.000000       1 0.585455 0.000000       1 0.512821       1 0.000000 0.000000     0.000000
    864   h1 0.695652       1 0.669091 1.000000       1 0.769231       1 0.812500 0.823529     0.239572
    865   h1 0.727273       1 0.727273 1.000000       1 0.769231       1 0.812500 0.823529     0.272241
    866   h1 0.727273       1 0.727273 1.000000       1 0.769231       1 0.675000 0.823529     0.226170
    867   h1 0.727273       1 0.669091 0.769231       1 0.427350       1 0.235714 0.216718     0.008172
    868   h1 0.909091       1 0.727273 0.750000       1 0.769231       1 0.812500 0.823529     0.255226
    869   h1 0.909091       1 0.727273 0.750000       1 0.769231       1 0.812500 0.823529     0.255226
    870   h1 0.909091       1 0.727273 0.660256       1 0.769231       1 0.769643 0.823529     0.212835
    871   h1 0.909091       1 0.581818 0.115385       1 0.569801       1 0.255357 0.021672     0.000192
    872   h1 0.727273       1 0.727273 0.916667       1 0.846154       1 0.812500 0.823529     0.274510
    873   h1 0.727273       1 0.727273 0.916667       1 0.846154       1 0.812500 0.823529     0.274510
    874   h1 0.727273       1 0.727273 0.916667       1 0.846154       1 0.812500 0.823529     0.274510
    875   h1 0.660079       1 0.450909 0.423077       1 0.156695       1 0.325000 0.044892     0.000288
    876   h1 0.727273       1 0.727273 1.000000       1 1.000000       1 0.875000 0.823529     0.381138
    877   h1 0.727273       1 0.727273 1.000000       1 1.000000       1 0.875000 0.823529     0.381138
    878   h1 0.727273       1 0.727273 1.000000       1 1.000000       1 0.875000 0.823529     0.381138
    879   h1 0.695652       1 0.465455 0.461538       1 0.222222       1 0.350000 0.043344     0.000504
    880   h1 1.000000       1 1.000000 0.750000       1 0.846154       1 0.812500 0.823529     0.424632
    881   h1 1.000000       1 1.000000 0.750000       1 0.846154       1 0.812500 0.823529     0.424632
    882   h1 1.000000       1 1.000000 0.750000       1 0.846154       1 0.812500 0.773994     0.399091
    883   h1 0.956522       1 0.680000 0.288462       1 0.125356       1 0.325000 0.037152     0.000284
    884   h1 0.727273       1 0.818182 0.750000       1 0.769231       1 0.812500 0.823529     0.229703
    885   h1 0.727273       1 0.818182 0.750000       1 0.769231       1 0.812500 0.823529     0.229703
    886   h1 0.727273       1 0.818182 0.733974       1 0.769231       1 0.801786 0.823529     0.221831
    887   h1 0.284585       1 0.130909 0.259615       1 0.678063       1 0.255357 0.253870     0.000425
    888   h1 0.869565       1 0.960000 1.000000       1 0.846154       1 0.812500 0.823529     0.472634
    889   h1 0.909091       1 1.000000 1.000000       1 0.786325       1 0.812500 0.801858     0.465725
    890   h1 1.000000       1 1.000000 1.000000       1 0.817664       1 0.675000 0.602167     0.332350
    891   h1 1.000000       1 0.920000 0.769231       1 0.470085       1 0.235714 0.123839     0.009711
    892   h1 0.695652       1 0.909091 0.750000       1 0.923077       1 0.812500 0.837461     0.297911
    893   h1 0.727273       1 0.909091 0.750000       1 0.923077       1 0.812500 0.882353     0.328148
    894   h1 0.632411       1 0.640000 0.390000       1 0.923077       1 0.557143 0.394737     0.032045
    895   h1 0.181818       1 0.000000 0.000000       1 0.512821       1 0.000000 0.000000     0.000000
    916   h1 0.695652       1 0.752727 0.750000       1 0.769231       1 0.812500 0.823529     0.202139
    917   h1 0.727273       1 0.818182 0.750000       1 0.769231       1 0.812500 0.823529     0.229703
    918   h1 0.727273       1 0.818182 0.750000       1 0.769231       1 0.812500 0.823529     0.229703
    919   h1 0.727273       1 0.752727 0.570000       1 0.666667       1 0.510714 0.530960     0.056410
    920   h1 0.158103       1 0.000000 0.000000       1 0.398860       1 0.000000 0.054180     0.000000
    921   h1 0.869565       1 0.960000 0.733333       1 0.769231       1 0.812500 0.823529     0.315090
    922   h1 0.909091       1 1.000000 0.750000       1 0.769231       1 0.812500 0.823529     0.350936
    923   h1 0.909091       1 1.000000 0.750000       1 0.769231       1 0.812500 0.823529     0.350936
    924   h1 0.909091       1 0.920000 0.576923       1 0.769231       1 0.492857 0.823529     0.150650
    925   h1 0.197628       1 0.000000 0.000000       1 0.569801       1 0.000000 0.108359     0.000000
    926   h1 0.707510       1 0.698182 0.721154       1 0.769231       1 0.812500 0.823529     0.183353
    927   h1 0.727273       1 0.727273 0.750000       1 0.769231       1 0.812500 0.823529     0.204181
    928   h1 0.727273       1 0.727273 0.750000       1 0.769231       1 0.812500 0.823529     0.204181
    929   h1 0.727273       1 0.669091 0.576923       1 0.769231       1 0.505357 0.823529     0.089874
