 ChipID Half   Layer0  Layer1   Layer2   Layer3  Layer4   Layer5   Layer6  Layer7   Layer8  Pseaudo_Eff
    344   h0 0.434783       1 0.000000 0.480000       1 0.000000 0.000000       1 0.000000     0.000000
    345   h0 0.454545       1 0.000000 0.500000       1 0.000000 0.000000       1 0.000000     0.000000
    346   h0 0.355731       1 0.000000 0.280000       1 0.000000 0.000000       1 0.000000     0.000000
    347   h0 0.695652       1 0.960000 0.720000       1 0.962963 0.800000       1 0.764706     0.283263
    348   h0 0.727273       1 1.000000 0.750000       1 1.000000 0.800000       1 0.823529     0.359358
    349   h0 0.569170       1 0.640000 0.420000       1 0.407407 0.635294       1 0.390093     0.015447
    350   h0 0.695652       1 0.610909 0.240000       1 0.888889 0.866667       1 0.058824     0.004622
    351   h0 0.727273       1 0.636364 0.250000       1 0.923077 0.866667       1 0.058824     0.005445
    352   h0 0.600791       1 0.407273 0.140000       1 0.376068 0.688235       1 0.027864     0.000247
    353   h0 0.956522       1 0.436364 0.000000       1 0.074074 0.000000       1 0.000000     0.000000
    354   h0 1.000000       1 0.454545 0.000000       1 0.076923 0.000000       1 0.000000     0.000000
    355   h0 0.826087       1 0.290909 0.000000       1 0.031339 0.000000       1 0.000000     0.000000
    392   h0 0.956522       1 0.698182 0.800000       1 0.814815 0.933333       1 0.823529     0.334602
    393   h0 1.000000       1 0.727273 0.833333       1 0.846154 0.933333       1 0.823529     0.394168
    394   h0 1.000000       1 0.727273 0.448718       1 0.846154 0.741176       1 0.390093     0.079838
    395   h0 1.000000       1 0.669091 0.000000       1 0.501425 0.000000       1 0.000000     0.000000
    396   h0 0.695652       1 0.698182 0.960000       1 0.740741 0.933333       1 0.882353     0.284431
    397   h0 0.727273       1 0.727273 1.000000       1 0.769231 0.933333       1 0.860681     0.326836
    398   h0 0.727273       1 0.727273 1.000000       1 0.769231 0.933333       1 0.823529     0.312728
    399   h0 0.727273       1 0.669091 0.769231       1 0.455840 0.658824       1 0.238390     0.026798
    400   h0 0.909091       1 0.818182 0.750000       1 0.769231 0.800000       1 0.823529     0.282712
    401   h0 0.909091       1 0.818182 0.750000       1 0.769231 0.800000       1 0.823529     0.282712
    402   h0 0.909091       1 0.818182 0.680000       1 0.769231 0.800000       1 0.823529     0.256325
    403   h0 0.909091       1 0.654545 0.115385       1 0.598291 0.333333       1 0.043344     0.000593
    404   h0 0.727273       1 0.727273 0.833333       1 0.846154 0.800000       1 0.823529     0.245715
    405   h0 0.727273       1 0.727273 0.833333       1 0.846154 0.800000       1 0.823529     0.245715
    406   h0 0.727273       1 0.727273 0.833333       1 0.846154 0.800000       1 0.823529     0.245715
    407   h0 0.703557       1 0.461818 0.384615       1 0.188034 0.405882       1 0.068111     0.000650
    408   h0 0.727273       1 0.727273 1.000000       1 1.000000 0.800000       1 0.823529     0.348469
    409   h0 0.727273       1 0.727273 1.000000       1 1.000000 0.800000       1 0.823529     0.348469
    410   h0 0.727273       1 0.727273 1.000000       1 1.000000 0.800000       1 0.823529     0.348469
    411   h0 0.723320       1 0.490909 0.461538       1 0.222222 0.423529       1 0.065015     0.001003
    412   h0 1.000000       1 1.000000 0.750000       1 0.769231 0.800000       1 0.823529     0.380090
    413   h0 1.000000       1 1.000000 0.750000       1 0.769231 0.800000       1 0.823529     0.380090
    414   h0 1.000000       1 1.000000 0.750000       1 0.769231 0.800000       1 0.767802     0.354370
    415   h0 1.000000       1 0.680000 0.317308       1 0.142450 0.358824       1 0.038700     0.000427
    416   h0 0.727273       1 0.909091 0.750000       1 0.769231 0.800000       1 0.823529     0.251300
    417   h0 0.727273       1 0.909091 0.750000       1 0.769231 0.800000       1 0.823529     0.251300
    418   h0 0.727273       1 0.909091 0.730769       1 0.769231 0.758824       1 0.823529     0.232253
    419   h0 0.316206       1 0.181818 0.201923       1 0.643875 0.205882       1 0.255418     0.000393
    420   h0 0.956522       1 0.872727 0.960000       1 0.712251 0.800000       1 0.823529     0.376051
    421   h0 1.000000       1 0.909091 1.000000       1 0.769231 0.800000       1 0.823529     0.460716
    422   h0 1.000000       1 0.909091 1.000000       1 0.769231 0.662745       1 0.606811     0.281232
    423   h0 1.000000       1 0.836364 0.800000       1 0.455840 0.094118       1 0.119195     0.003422
    424   h0 0.695652       1 0.960000 0.720000       1 0.925926 0.800000       1 0.823529     0.293320
    425   h0 0.727273       1 1.000000 0.750000       1 1.000000 0.800000       1 0.823529     0.359358
    426   h0 0.632411       1 0.640000 0.420000       1 1.000000 0.635294       1 0.390093     0.042128
    427   h0 0.181818       1 0.000000 0.000000       1 0.592593 0.000000       1 0.000000     0.000000
    448   h0 0.695652       1 0.698182 0.720000       1 0.740741 0.866667       1 0.823529     0.184880
    449   h0 0.727273       1 0.727273 0.750000       1 0.769231 0.866667       1 0.823529     0.217793
    450   h0 0.727273       1 0.727273 0.750000       1 0.769231 0.866667       1 0.823529     0.217793
    451   h0 0.727273       1 0.669091 0.576923       1 0.643875 0.611765       1 0.572755     0.063337
    452   h0 0.189723       1 0.000000 0.000000       1 0.341880 0.000000       1 0.061920     0.000000
    453   h0 0.869565       1 0.960000 0.720000       1 0.740741 0.800000       1 0.823529     0.293320
    454   h0 0.909091       1 1.000000 0.750000       1 0.769231 0.800000       1 0.823529     0.345537
    455   h0 0.909091       1 1.000000 0.750000       1 0.769231 0.800000       1 0.823529     0.345537
    456   h0 0.909091       1 0.920000 0.600000       1 0.769231 0.564706       1 0.823529     0.179517
    457   h0 0.237154       1 0.000000 0.000000       1 0.569801 0.000000       1 0.108359     0.000000
    458   h0 0.695652       1 0.698182 0.720000       1 0.769231 0.800000       1 0.823529     0.177223
    459   h0 0.727273       1 0.727273 0.750000       1 0.769231 0.800000       1 0.823529     0.201040
    460   h0 0.727273       1 0.727273 0.750000       1 0.769231 0.800000       1 0.823529     0.201040
    461   h0 0.727273       1 0.669091 0.600000       1 0.769231 0.564706       1 0.823529     0.104446
    462   h0 0.189723       1 0.000000 0.000000       1 0.569801 0.000000       1 0.108359     0.000000
    463   h0 0.782609       1 0.698182 0.800000       1 0.732194 0.800000       1 0.823529     0.210862
    464   h0 0.818182       1 0.727273 0.833333       1 0.769231 0.800000       1 0.823529     0.251300
    465   h0 0.818182       1 0.727273 0.833333       1 0.769231 0.800000       1 0.856037     0.261219
    466   h0 0.818182       1 0.669091 0.666667       1 0.675214 0.564706       1 0.255418     0.035543
    467   h0 0.213439       1 0.000000 0.000000       1 0.398860 0.000000       1 0.000000     0.000000
    812   h1 0.434783       1 0.000000 0.400000       1 0.000000 0.000000       1 0.000000     0.000000
    813   h1 0.363636       1 0.000000 0.416667       1 0.059829 0.000000       1 0.000000     0.000000
    814   h1 0.300395       1 0.000000 0.216667       1 0.031339 0.000000       1 0.000000     0.000000
    815   h1 0.695652       1 0.960000 0.720000       1 1.000000 0.733333       1 0.764706     0.269645
    816   h1 0.727273       1 1.000000 0.750000       1 0.940171 0.733333       1 0.764706     0.287582
    817   h1 0.600791       1 0.600000 0.420000       1 0.376068 0.635294       1 0.342105     0.012374
    818   h1 0.695652       1 0.727273 0.333333       1 1.000000 0.800000       1 0.106811     0.014410
    819   h1 0.727273       1 0.727273 0.333333       1 0.940171 0.800000       1 0.058824     0.007800
    820   h1 0.600791       1 0.465455 0.173333       1 0.376068 0.611765       1 0.026316     0.000293
    821   h1 0.956522       1 0.436364 0.000000       1 0.000000 0.000000       1 0.000000     0.000000
    822   h1 1.000000       1 0.454545 0.000000       1 0.059829 0.000000       1 0.000000     0.000000
    823   h1 0.826087       1 0.290909 0.000000       1 0.031339 0.000000       1 0.000000     0.000000
    860   h1 0.956522       1 0.672727 0.880000       1 0.923077 0.866667       1 0.823529     0.373066
    861   h1 1.000000       1 0.727273 0.916667       1 0.923077 0.866667       1 0.823529     0.439216
    862   h1 1.000000       1 0.690909 0.476667       1 0.923077 0.662745       1 0.368421     0.074227
    863   h1 1.000000       1 0.585455 0.000000       1 0.512821 0.000000       1 0.000000     0.000000
    864   h1 0.695652       1 0.669091 1.000000       1 0.769231 0.933333       1 0.823529     0.275201
    865   h1 0.727273       1 0.727273 1.000000       1 0.769231 0.933333       1 0.823529     0.312728
    866   h1 0.727273       1 0.727273 1.000000       1 0.769231 0.933333       1 0.823529     0.312728
