 ChipID Half   Layer0  Layer1   Layer2  Layer3   Layer4  Layer5   Layer6   Layer7   Layer8  Pseaudo_Eff
    454   h0 0.909091       1 1.000000       1 0.833333       1 0.800000 0.812500 0.823529     0.405526
    455   h0 0.909091       1 1.000000       1 0.833333       1 0.800000 0.812500 0.823529     0.405526
    456   h0 0.909091       1 0.920000       1 0.833333       1 0.564706 0.487500 0.823529     0.158012
    457   h0 0.237154       1 0.000000       1 0.705128       1 0.000000 0.000000 0.108359     0.000000
    458   h0 0.695652       1 0.698182       1 0.801282       1 0.800000 0.812500 0.823529     0.208324
    459   h0 0.727273       1 0.727273       1 0.833333       1 0.800000 0.812500 0.823529     0.235942
    460   h0 0.727273       1 0.727273       1 0.833333       1 0.800000 0.812500 0.823529     0.235942
    461   h0 0.727273       1 0.669091       1 0.833333       1 0.564706 0.487500 0.823529     0.091934
    462   h0 0.189723       1 0.000000       1 0.705128       1 0.000000 0.000000 0.108359     0.000000
    463   h0 0.782609       1 0.698182       1 0.721154       1 0.800000 0.812500 0.823529     0.210928
    464   h0 0.818182       1 0.727273       1 0.750000       1 0.800000 0.812500 0.823529     0.238892
    465   h0 0.818182       1 0.727273       1 0.750000       1 0.800000 0.812500 0.856037     0.248322
    466   h0 0.818182       1 0.669091       1 0.548077       1 0.564706 0.487500 0.255418     0.021097
    467   h0 0.213439       1 0.000000       1 0.141026       1 0.000000 0.000000 0.000000     0.000000
    812   h1 0.434783       1 0.000000       1 0.583333       1 0.000000 0.062500 0.000000     0.000000
    813   h1 0.363636       1 0.000000       1 0.583333       1 0.000000 0.062500 0.000000     0.000000
    814   h1 0.300395       1 0.000000       1 0.269231       1 0.000000 0.042857 0.000000     0.000000
    815   h1 0.695652       1 0.960000       1 0.750000       1 0.733333 0.812500 0.764706     0.228215
    816   h1 0.727273       1 1.000000       1 0.750000       1 0.733333 0.812500 0.764706     0.248529
    817   h1 0.600791       1 0.600000       1 0.525641       1 0.635294 0.580357 0.342105     0.023900
    818   h1 0.695652       1 0.727273       1 0.916667       1 0.800000 0.187500 0.106811     0.007430
    819   h1 0.727273       1 0.727273       1 0.916667       1 0.800000 0.187500 0.058824     0.004278
    820   h1 0.600791       1 0.465455       1 0.423077       1 0.611765 0.133929 0.026316     0.000255
    821   h1 0.956522       1 0.436364       1 0.000000       1 0.000000 0.000000 0.000000     0.000000
    822   h1 1.000000       1 0.454545       1 0.000000       1 0.000000 0.000000 0.000000     0.000000
    823   h1 0.826087       1 0.290909       1 0.000000       1 0.000000 0.000000 0.000000     0.000000
    860   h1 0.956522       1 0.672727       1 0.750000       1 0.866667 0.812500 0.823529     0.279866
    861   h1 1.000000       1 0.727273       1 0.750000       1 0.866667 0.812500 0.823529     0.316310
    862   h1 1.000000       1 0.690909       1 0.750000       1 0.662745 0.557143 0.368421     0.070492
    863   h1 1.000000       1 0.585455       1 0.461538       1 0.000000 0.000000 0.000000     0.000000
    864   h1 0.695652       1 0.669091       1 0.916667       1 0.933333 0.812500 0.823529     0.266458
    865   h1 0.727273       1 0.727273       1 0.916667       1 0.933333 0.812500 0.823529     0.302793
    866   h1 0.727273       1 0.727273       1 0.916667       1 0.933333 0.675000 0.823529     0.251551
    867   h1 0.727273       1 0.669091       1 0.564103       1 0.658824 0.235714 0.216718     0.009238
    868   h1 0.909091       1 0.727273       1 0.750000       1 0.800000 0.812500 0.823529     0.265435
    869   h1 0.909091       1 0.727273       1 0.750000       1 0.800000 0.812500 0.823529     0.265435
    870   h1 0.909091       1 0.727273       1 0.750000       1 0.800000 0.769643 0.823529     0.251434
    871   h1 0.909091       1 0.581818       1 0.394231       1 0.329412 0.255357 0.021672     0.000380
    872   h1 0.727273       1 0.727273       1 0.750000       1 0.800000 0.812500 0.823529     0.212348
    873   h1 0.727273       1 0.727273       1 0.750000       1 0.800000 0.812500 0.823529     0.212348
    874   h1 0.727273       1 0.727273       1 0.750000       1 0.800000 0.812500 0.823529     0.212348
    875   h1 0.660079       1 0.450909       1 0.182692       1 0.403922 0.325000 0.044892     0.000320
    876   h1 0.727273       1 0.727273       1 0.750000       1 0.800000 0.875000 0.823529     0.228683
