 ChipID Half   Layer0  Layer1   Layer2   Layer3  Layer4   Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    344   h0 0.434783       1 0.000000 0.480000       1 0.000000 0.000000 0.062500       1     0.000000
    345   h0 0.454545       1 0.000000 0.500000       1 0.000000 0.000000 0.062500       1     0.000000
    346   h0 0.355731       1 0.000000 0.280000       1 0.000000 0.000000 0.044643       1     0.000000
    347   h0 0.695652       1 0.960000 0.720000       1 0.962963 0.800000 0.812500       1     0.300967
    348   h0 0.727273       1 1.000000 0.750000       1 1.000000 0.800000 0.812500       1     0.354545
    349   h0 0.569170       1 0.640000 0.420000       1 0.407407 0.635294 0.580357       1     0.022981
    350   h0 0.695652       1 0.610909 0.240000       1 0.888889 0.866667 0.125000       1     0.009822
    351   h0 0.727273       1 0.636364 0.250000       1 0.923077 0.866667 0.125000       1     0.011570
    352   h0 0.600791       1 0.407273 0.140000       1 0.376068 0.688235 0.089286       1     0.000792
    353   h0 0.956522       1 0.436364 0.000000       1 0.074074 0.000000 0.000000       1     0.000000
    354   h0 1.000000       1 0.454545 0.000000       1 0.076923 0.000000 0.000000       1     0.000000
    355   h0 0.826087       1 0.290909 0.000000       1 0.031339 0.000000 0.000000       1     0.000000
    392   h0 0.956522       1 0.698182 0.800000       1 0.814815 0.933333 0.812500       1     0.330120
    393   h0 1.000000       1 0.727273 0.833333       1 0.846154 0.933333 0.812500       1     0.388889
    394   h0 1.000000       1 0.727273 0.448718       1 0.846154 0.741176 0.580357       1     0.118778
    395   h0 1.000000       1 0.669091 0.000000       1 0.501425 0.000000 0.000000       1     0.000000
    396   h0 0.695652       1 0.698182 0.960000       1 0.740741 0.933333 0.812500       1     0.261914
    397   h0 0.727273       1 0.727273 1.000000       1 0.769231 0.933333 0.812500       1     0.308540
    398   h0 0.727273       1 0.727273 1.000000       1 0.769231 0.933333 0.687500       1     0.261072
    399   h0 0.727273       1 0.669091 0.769231       1 0.455840 0.658824 0.225000       1     0.025293
    400   h0 0.909091       1 0.818182 0.750000       1 0.769231 0.800000 0.812500       1     0.278926
    401   h0 0.909091       1 0.818182 0.750000       1 0.769231 0.800000 0.812500       1     0.278926
    402   h0 0.909091       1 0.818182 0.680000       1 0.769231 0.800000 0.792857       1     0.246779
    403   h0 0.909091       1 0.654545 0.115385       1 0.598291 0.333333 0.278571       1     0.003814
    404   h0 0.727273       1 0.727273 0.833333       1 0.846154 0.800000 0.875000       1     0.261072
    405   h0 0.727273       1 0.727273 0.833333       1 0.846154 0.800000 0.875000       1     0.261072
    406   h0 0.727273       1 0.727273 0.833333       1 0.846154 0.800000 0.875000       1     0.261072
    407   h0 0.703557       1 0.461818 0.384615       1 0.188034 0.405882 0.350000       1     0.003338
    408   h0 0.727273       1 0.727273 1.000000       1 1.000000 0.800000 0.875000       1     0.370248
    409   h0 0.727273       1 0.727273 1.000000       1 1.000000 0.800000 0.875000       1     0.370248
    410   h0 0.727273       1 0.727273 1.000000       1 1.000000 0.800000 0.875000       1     0.370248
    411   h0 0.723320       1 0.490909 0.461538       1 0.222222 0.423529 0.350000       1     0.005399
    412   h0 1.000000       1 1.000000 0.750000       1 0.769231 0.800000 0.812500       1     0.375000
    413   h0 1.000000       1 1.000000 0.750000       1 0.769231 0.800000 0.812500       1     0.375000
    414   h0 1.000000       1 1.000000 0.750000       1 0.769231 0.800000 0.812500       1     0.375000
    415   h0 1.000000       1 0.680000 0.317308       1 0.142450 0.358824 0.325000       1     0.003584
    416   h0 0.727273       1 0.909091 0.750000       1 0.769231 0.800000 0.812500       1     0.247934
    417   h0 0.727273       1 0.909091 0.750000       1 0.769231 0.800000 0.812500       1     0.247934
    418   h0 0.727273       1 0.909091 0.730769       1 0.769231 0.758824 0.787500       1     0.222092
    419   h0 0.316206       1 0.181818 0.201923       1 0.643875 0.205882 0.235714       1     0.000363
    420   h0 0.956522       1 0.872727 0.960000       1 0.712251 0.800000 0.812500       1     0.371014
    421   h0 1.000000       1 0.909091 1.000000       1 0.769231 0.800000 0.812500       1     0.454545
    422   h0 1.000000       1 0.909091 1.000000       1 0.769231 0.662745 0.687500       1     0.318627
    423   h0 1.000000       1 0.836364 0.800000       1 0.455840 0.094118 0.225000       1     0.006459
    424   h0 0.695652       1 0.960000 0.720000       1 0.925926 0.800000 0.812500       1     0.289391
    425   h0 0.727273       1 1.000000 0.750000       1 1.000000 0.800000 0.812500       1     0.354545
    426   h0 0.632411       1 0.640000 0.420000       1 1.000000 0.635294 0.580357       1     0.062676
    427   h0 0.181818       1 0.000000 0.000000       1 0.592593 0.000000 0.000000       1     0.000000
    448   h0 0.695652       1 0.698182 0.720000       1 0.740741 0.866667 0.812500       1     0.182404
    449   h0 0.727273       1 0.727273 0.750000       1 0.769231 0.866667 0.812500       1     0.214876
    450   h0 0.727273       1 0.727273 0.750000       1 0.769231 0.866667 0.812500       1     0.214876
    451   h0 0.727273       1 0.669091 0.576923       1 0.643875 0.611765 0.487500       1     0.053909
    452   h0 0.189723       1 0.000000 0.000000       1 0.341880 0.000000 0.000000       1     0.000000
    453   h0 0.869565       1 0.960000 0.720000       1 0.740741 0.800000 0.812500       1     0.289391
    454   h0 0.909091       1 1.000000 0.750000       1 0.769231 0.800000 0.812500       1     0.340909
    455   h0 0.909091       1 1.000000 0.750000       1 0.769231 0.800000 0.812500       1     0.340909
    456   h0 0.909091       1 0.920000 0.600000       1 0.769231 0.564706 0.487500       1     0.106267
    457   h0 0.237154       1 0.000000 0.000000       1 0.569801 0.000000 0.000000       1     0.000000
