 ChipID Half   Layer0  Layer1  Layer2   Layer3  Layer4   Layer5   Layer6   Layer7   Layer8  Pseaudo_Eff
    463   h0 0.782609       1       1 0.800000       1 0.732194 0.800000 0.812500 0.823529     0.245388
    464   h0 0.818182       1       1 0.833333       1 0.769231 0.800000 0.812500 0.823529     0.280749
    465   h0 0.818182       1       1 0.833333       1 0.769231 0.800000 0.812500 0.856037     0.291831
    466   h0 0.818182       1       1 0.666667       1 0.675214 0.564706 0.487500 0.255418     0.025897
    467   h0 0.213439       1       1 0.000000       1 0.398860 0.000000 0.000000 0.000000     0.000000
    812   h1 0.434783       1       1 0.400000       1 0.000000 0.000000 0.062500 0.000000     0.000000
    813   h1 0.363636       1       1 0.416667       1 0.059829 0.000000 0.062500 0.000000     0.000000
    814   h1 0.300395       1       1 0.216667       1 0.031339 0.000000 0.042857 0.000000     0.000000
    815   h1 0.695652       1       1 0.720000       1 1.000000 0.733333 0.812500 0.764706     0.228215
    816   h1 0.727273       1       1 0.750000       1 0.940171 0.733333 0.812500 0.764706     0.233660
    817   h1 0.600791       1       1 0.420000       1 0.376068 0.635294 0.580357 0.342105     0.011969
    818   h1 0.695652       1       1 0.333333       1 1.000000 0.800000 0.187500 0.106811     0.003715
    819   h1 0.727273       1       1 0.333333       1 0.940171 0.800000 0.187500 0.058824     0.002011
    820   h1 0.600791       1       1 0.173333       1 0.376068 0.611765 0.133929 0.026316     0.000084
    821   h1 0.956522       1       1 0.000000       1 0.000000 0.000000 0.000000 0.000000     0.000000
    822   h1 1.000000       1       1 0.000000       1 0.059829 0.000000 0.000000 0.000000     0.000000
    823   h1 0.826087       1       1 0.000000       1 0.031339 0.000000 0.000000 0.000000     0.000000
    860   h1 0.956522       1       1 0.880000       1 0.923077 0.866667 0.812500 0.823529     0.450578
    861   h1 1.000000       1       1 0.916667       1 0.923077 0.866667 0.812500 0.823529     0.490686
    862   h1 1.000000       1       1 0.476667       1 0.923077 0.662745 0.557143 0.368421     0.059856
    863   h1 1.000000       1       1 0.000000       1 0.512821 0.000000 0.000000 0.000000     0.000000
    864   h1 0.695652       1       1 1.000000       1 0.769231 0.933333 0.812500 0.823529     0.334186
    865   h1 0.727273       1       1 1.000000       1 0.769231 0.933333 0.812500 0.823529     0.349376
    866   h1 0.727273       1       1 1.000000       1 0.769231 0.933333 0.675000 0.823529     0.290251
    867   h1 0.727273       1       1 0.769231       1 0.427350 0.658824 0.235714 0.216718     0.008046
    868   h1 0.909091       1       1 0.750000       1 0.769231 0.800000 0.812500 0.823529     0.280749
    869   h1 0.909091       1       1 0.750000       1 0.769231 0.800000 0.812500 0.823529     0.280749
    870   h1 0.909091       1       1 0.660256       1 0.769231 0.800000 0.769643 0.823529     0.234118
    871   h1 0.909091       1       1 0.115385       1 0.569801 0.329412 0.255357 0.021672     0.000109
    872   h1 0.727273       1       1 0.916667       1 0.846154 0.800000 0.812500 0.823529     0.301961
    873   h1 0.727273       1       1 0.916667       1 0.846154 0.800000 0.812500 0.823529     0.301961
    874   h1 0.727273       1       1 0.916667       1 0.846154 0.800000 0.812500 0.823529     0.301961
    875   h1 0.660079       1       1 0.423077       1 0.156695 0.403922 0.325000 0.044892     0.000258
    876   h1 0.727273       1       1 1.000000       1 1.000000 0.800000 0.875000 0.823529     0.419251
    877   h1 0.727273       1       1 1.000000       1 1.000000 0.800000 0.875000 0.823529     0.419251
    878   h1 0.727273       1       1 1.000000       1 1.000000 0.800000 0.875000 0.823529     0.419251
    879   h1 0.695652       1       1 0.461538       1 0.222222 0.400000 0.350000 0.043344     0.000433
    880   h1 1.000000       1       1 0.750000       1 0.846154 0.800000 0.812500 0.823529     0.339706
    881   h1 1.000000       1       1 0.750000       1 0.846154 0.800000 0.812500 0.823529     0.339706
    882   h1 1.000000       1       1 0.750000       1 0.846154 0.800000 0.812500 0.773994     0.319272
    883   h1 0.956522       1       1 0.288462       1 0.125356 0.376471 0.325000 0.037152     0.000157
    884   h1 0.727273       1       1 0.750000       1 0.769231 0.800000 0.812500 0.823529     0.224599
    885   h1 0.727273       1       1 0.750000       1 0.769231 0.800000 0.812500 0.823529     0.224599
    886   h1 0.727273       1       1 0.733974       1 0.769231 0.752941 0.801786 0.823529     0.204142
    887   h1 0.284585       1       1 0.259615       1 0.678063 0.247059 0.255357 0.253870     0.000802
    888   h1 0.869565       1       1 1.000000       1 0.846154 0.800000 0.812500 0.823529     0.393862
    889   h1 0.909091       1       1 1.000000       1 0.786325 0.800000 0.812500 0.801858     0.372580
    890   h1 1.000000       1       1 1.000000       1 0.817664 0.658824 0.675000 0.602167     0.218960
    891   h1 1.000000       1       1 0.769231       1 0.470085 0.141176 0.235714 0.123839     0.001490
    892   h1 0.695652       1       1 0.750000       1 0.923077 0.800000 0.812500 0.837461     0.262162
    893   h1 0.727273       1       1 0.750000       1 0.923077 0.800000 0.812500 0.882353     0.288770
    894   h1 0.632411       1       1 0.390000       1 0.923077 0.611765 0.557143 0.394737     0.030631
    895   h1 0.181818       1       1 0.000000       1 0.512821 0.000000 0.000000 0.000000     0.000000
    916   h1 0.695652       1       1 0.750000       1 0.769231 0.933333 0.812500 0.823529     0.250639
    917   h1 0.727273       1       1 0.750000       1 0.769231 0.933333 0.812500 0.823529     0.262032
    918   h1 0.727273       1       1 0.750000       1 0.769231 0.933333 0.812500 0.823529     0.262032
    919   h1 0.727273       1       1 0.570000       1 0.666667 0.658824 0.510714 0.530960     0.049373
    920   h1 0.158103       1       1 0.000000       1 0.398860 0.000000 0.000000 0.054180     0.000000
    921   h1 0.869565       1       1 0.733333       1 0.769231 0.866667 0.812500 0.823529     0.284456
    922   h1 0.909091       1       1 0.750000       1 0.769231 0.866667 0.812500 0.823529     0.304144
    923   h1 0.909091       1       1 0.750000       1 0.769231 0.866667 0.812500 0.823529     0.304144
    924   h1 0.909091       1       1 0.576923       1 0.769231 0.637255 0.492857 0.823529     0.104351
    925   h1 0.197628       1       1 0.000000       1 0.569801 0.000000 0.000000 0.108359     0.000000
    926   h1 0.707510       1       1 0.721154       1 0.769231 0.800000 0.812500 0.823529     0.210092
    927   h1 0.727273       1       1 0.750000       1 0.769231 0.800000 0.812500 0.823529     0.224599
    928   h1 0.727273       1       1 0.750000       1 0.769231 0.800000 0.812500 0.823529     0.224599
    929   h1 0.727273       1       1 0.576923       1 0.769231 0.564706 0.505357 0.823529     0.075853
    930   h1 0.158103       1       1 0.000000       1 0.569801 0.000000 0.000000 0.108359     0.000000
    931   h1 0.909091       1       1 0.881410       1 0.692308 0.800000 0.812500 0.823529     0.296946
    932   h1 0.909091       1       1 0.916667       1 0.754986 0.800000 0.812500 0.825077     0.337416
    933   h1 0.909091       1       1 0.916667       1 0.723647 0.800000 0.812500 0.823529     0.322803
    934   h1 0.909091       1       1 0.705128       1 0.589744 0.564706 0.496429 0.235294     0.024936
    935   h1 0.197628       1       1 0.000000       1 0.341880 0.000000 0.000000 0.000000     0.000000
