 ChipID Half  Layer0   Layer1   Layer2  Layer3   Layer4  Layer5   Layer6   Layer7   Layer8  Pseaudo_Eff
    344   h0       1 0.871212 0.000000       1 0.641026       1 0.000000 0.062500 0.000000     0.000000
    345   h0       1 0.965909 0.000000       1 0.666667       1 0.000000 0.062500 0.000000     0.000000
    346   h0       1 0.708333 0.000000       1 0.307692       1 0.000000 0.044643 0.000000     0.000000
    347   h0       1 0.784091 0.960000       1 0.721154       1 0.800000 0.812500 0.764706     0.269820
    348   h0       1 0.818182 1.000000       1 0.750000       1 0.800000 0.812500 0.823529     0.328476
    349   h0       1 0.579545 0.640000       1 0.570513       1 0.635294 0.580357 0.390093     0.030435
    350   h0       1 0.958333 0.610909       1 0.801282       1 0.866667 0.125000 0.058824     0.002989
    351   h0       1 1.000000 0.636364       1 0.833333       1 0.866667 0.125000 0.058824     0.003379
    352   h0       1 0.708333 0.407273       1 0.352564       1 0.688235 0.089286 0.027864     0.000174
    353   h0       1 0.000000 0.436364       1 0.000000       1 0.000000 0.000000 0.000000     0.000000
    354   h0       1 0.000000 0.454545       1 0.000000       1 0.000000 0.000000 0.000000     0.000000
    355   h0       1 0.000000 0.290909       1 0.000000       1 0.000000 0.000000 0.000000     0.000000
    392   h0       1 0.696970 0.698182       1 0.721154       1 0.933333 0.812500 0.823529     0.219154
    393   h0       1 0.727273 0.727273       1 0.750000       1 0.933333 0.812500 0.823529     0.247739
    394   h0       1 0.647727 0.727273       1 0.750000       1 0.741176 0.580357 0.390093     0.059284
    395   h0       1 0.454545 0.669091       1 0.490385       1 0.000000 0.000000 0.000000     0.000000
    396   h0       1 0.696970 0.698182       1 0.801282       1 0.933333 0.812500 0.882353     0.260898
    397   h0       1 0.727273 0.727273       1 0.833333       1 0.933333 0.812500 0.860681     0.287684
    398   h0       1 0.727273 0.727273       1 0.833333       1 0.933333 0.687500 0.823529     0.232917
    399   h0       1 0.727273 0.669091       1 0.544872       1 0.658824 0.225000 0.238390     0.009370
    400   h0       1 0.727273 0.818182       1 0.750000       1 0.800000 0.812500 0.823529     0.238892
    401   h0       1 0.727273 0.818182       1 0.750000       1 0.800000 0.812500 0.823529     0.238892
    402   h0       1 0.727273 0.818182       1 0.750000       1 0.800000 0.792857 0.823529     0.233116
    403   h0       1 0.454545 0.654545       1 0.384615       1 0.333333 0.278571 0.043344     0.000461
    404   h0       1 0.818182 0.727273       1 0.750000       1 0.800000 0.875000 0.823529     0.257268
    405   h0       1 0.818182 0.727273       1 0.750000       1 0.800000 0.875000 0.823529     0.257268
    406   h0       1 0.818182 0.727273       1 0.750000       1 0.800000 0.875000 0.823529     0.257268
