 ChipID Half   Layer0   Layer1  Layer2   Layer3   Layer4  Layer5  Layer6   Layer7   Layer8  Pseaudo_Eff
    466   h0 0.666667 0.666667       1 0.700000 1.000000       1       1 0.769231 0.785714     0.188034
    467   h0 0.666667 0.666667       1 0.500000 1.000000       1       1 0.384615 0.656682     0.056127
    812   h1 0.596491 0.947368       1 0.723810 0.954545       1       1 0.846154 0.785714     0.259572
    813   h1 0.666667 1.000000       1 0.800000 1.000000       1       1 0.846154 0.785714     0.354579
    814   h1 0.666667 1.000000       1 0.800000 1.000000       1       1 0.846154 0.785714     0.354579
    815   h1 0.795322 0.736842       1 0.642857 0.668182       1       1 0.769231 0.785714     0.152141
    816   h1 0.888889 0.777778       1 0.700000 0.700000       1       1 0.769231 0.785714     0.204748
    817   h1 0.888889 0.777778       1 0.700000 0.700000       1       1 0.769231 0.785714     0.204748
    818   h1 0.596491 0.947368       1 0.666667 0.954545       1       1 0.769231 0.857143     0.237104
    819   h1 0.666667 1.000000       1 0.700000 1.000000       1       1 0.769231 0.857143     0.307692
    820   h1 0.666667 1.000000       1 0.700000 1.000000       1       1 0.769231 0.857143     0.307692
    821   h1 0.894737 0.631579       1 0.952381 0.668182       1       1 0.923077 0.857143     0.284524
    822   h1 1.000000 0.666667       1 1.000000 0.700000       1       1 0.923077 0.788018     0.339454
    823   h1 1.000000 0.666667       1 1.000000 0.700000       1       1 0.923077 0.785714     0.338462
    860   h1 0.795322 0.631579       1 0.952381 0.763636       1       1 0.769231 0.785714     0.220795
    861   h1 0.888889 0.666667       1 1.000000 0.800000       1       1 0.769231 0.785714     0.286528
    862   h1 0.888889 0.666667       1 1.000000 0.800000       1       1 0.769231 0.785714     0.286528
    863   h1 0.888889 0.666667       1 1.000000 0.800000       1       1 0.620879 0.785714     0.231269
    864   h1 0.596491 0.947368       1 0.666667 0.954545       1       1 0.769231 0.785714     0.217345
    865   h1 0.666667 1.000000       1 0.700000 1.000000       1       1 0.769231 0.785714     0.282051
    866   h1 0.666667 1.000000       1 0.700000 1.000000       1       1 0.769231 0.785714     0.282051
    867   h1 0.666667 1.000000       1 0.700000 1.000000       1       1 0.769231 0.785714     0.282051
    868   h1 0.842105 0.573099       1 0.642857 0.954545       1       1 0.846154 0.737327     0.184764
    869   h1 1.000000 0.777778       1 0.700000 1.000000       1       1 0.846154 0.785714     0.361966
    870   h1 1.000000 0.777778       1 0.700000 1.000000       1       1 0.769231 0.785714     0.329060
    871   h1 1.000000 0.777778       1 0.676190 1.000000       1       1 0.846154 0.767281     0.341451
    872   h1 0.596491 0.666667       1 0.700000 0.700000       1       1 0.923077 0.778802     0.140079
    873   h1 0.666667 0.666667       1 0.700000 0.700000       1       1 0.923077 0.785714     0.157949
    874   h1 0.666667 0.666667       1 0.700000 0.700000       1       1 0.923077 0.785714     0.157949
    875   h1 0.666667 0.666667       1 0.700000 0.700000       1       1 0.923077 0.785714     0.157949
    876   h1 0.695906 1.000000       1 1.000000 0.700000       1       1 1.000000 0.760369     0.370402
    877   h1 0.777778 1.000000       1 1.000000 0.700000       1       1 1.000000 0.785714     0.427778
    878   h1 0.777778 1.000000       1 1.000000 0.700000       1       1 1.000000 0.785714     0.427778
    879   h1 0.777778 1.000000       1 1.000000 0.700000       1       1 1.000000 0.785714     0.427778
    880   h1 0.894737 0.649123       1 0.700000 1.000000       1       1 0.846154 0.744240     0.256025
    881   h1 1.000000 0.666667       1 0.700000 1.000000       1       1 0.846154 0.785714     0.310256
    882   h1 1.000000 0.666667       1 0.700000 1.000000       1       1 0.846154 0.785714     0.310256
    883   h1 1.000000 0.666667       1 0.700000 1.000000       1       1 0.846154 0.767281     0.302978
    884   h1 0.479532 0.736842       1 0.647619 0.663636       1       1 0.747253 0.702765     0.079748
    885   h1 0.666667 1.000000       1 0.800000 0.700000       1       1 0.769231 0.785714     0.225641
    886   h1 0.666667 1.000000       1 0.800000 0.700000       1       1 0.769231 0.785714     0.225641
    887   h1 0.666667 1.000000       1 0.800000 0.700000       1       1 0.769231 0.785714     0.225641
    888   h1 0.947368 0.947368       1 0.952381 0.668182       1       1 0.769231 0.785714     0.345195
    889   h1 1.000000 1.000000       1 1.000000 0.700000       1       1 0.769231 0.788018     0.424318
    890   h1 1.000000 1.000000       1 1.000000 0.700000       1       1 0.769231 0.788018     0.424318
    891   h1 1.000000 1.000000       1 1.000000 0.700000       1       1 0.769231 0.785714     0.423077
    892   h1 0.695906 0.631579       1 0.761905 0.668182       1       1 0.769231 0.857143     0.147531
    893   h1 0.777778 0.666667       1 0.800000 0.700000       1       1 0.769231 0.857143     0.191453
    894   h1 0.777778 0.666667       1 0.800000 0.700000       1       1 0.769231 0.790323     0.176528
    895   h1 0.777778 0.666667       1 0.900000 0.700000       1       1 0.670330 0.714286     0.156410
    916   h1 0.894737 0.631579       1 0.661905 0.668182       1       1 0.769231 0.785714     0.151055
    917   h1 1.000000 0.666667       1 0.700000 0.700000       1       1 0.769231 0.785714     0.197436
    918   h1 1.000000 0.666667       1 0.700000 0.700000       1       1 0.769231 0.785714     0.197436
    919   h1 1.000000 0.666667       1 0.700000 0.700000       1       1 0.769231 0.785714     0.197436
    920   h1 1.000000 0.666667       1 0.500000 0.700000       1       1 0.376374 0.785714     0.069002
    921   h1 0.298246 0.947368       1 0.904762 0.763636       1       1 0.706044 0.619816     0.085430
    922   h1 0.631579 1.000000       1 1.000000 0.800000       1       1 0.769231 0.785714     0.305379
