 ChipID Half   Layer0   Layer1  Layer2   Layer3  Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    412   h0 0.947368 0.654971   1.000 0.700000       1       1 0.712251 0.923077       1     0.285568
    413   h0 1.000000 0.666667   1.000 0.700000       1       1 0.769231 0.923077       1     0.331361
    414   h0 1.000000 0.666667   1.000 0.700000       1       1 0.769231 0.923077       1     0.331361
    415   h0 1.000000 0.666667   1.000 0.700000       1       1 0.769231 0.923077       1     0.331361
    416   h0 0.502924 0.684211   0.610 0.647619       1       1 0.888889 0.769231       1     0.092949
    417   h0 0.666667 1.000000   0.700 0.800000       1       1 0.923077 0.769231       1     0.265089
    418   h0 0.666667 1.000000   0.700 0.800000       1       1 0.923077 0.769231       1     0.265089
    419   h0 0.666667 1.000000   0.700 0.800000       1       1 0.923077 0.769231       1     0.265089
    420   h0 0.842105 0.947368   0.665 0.857143       1       1 0.740741 0.769231       1     0.259109
    421   h0 0.888889 1.000000   0.700 0.900000       1       1 0.769231 0.769231       1     0.331361
    422   h0 0.888889 1.000000   0.700 0.900000       1       1 0.769231 0.769231       1     0.331361
    423   h0 0.888889 1.000000   0.700 0.900000       1       1 0.769231 0.769231       1     0.331361
    424   h0 0.842105 0.631579   0.950 0.857143       1       1 0.740741 0.769231       1     0.246771
    425   h0 0.888889 0.666667   1.000 0.900000       1       1 0.769231 0.769231       1     0.315582
    426   h0 0.888889 0.666667   1.000 0.900000       1       1 0.769231 0.769231       1     0.315582
    427   h0 0.888889 0.666667   1.000 0.900000       1       1 0.569801 0.675824       1     0.205379
    448   h0 0.947368 0.631579   0.855 0.666667       1       1 0.814815 0.769231       1     0.213765
    449   h0 1.000000 0.666667   0.900 0.700000       1       1 0.846154 0.769231       1     0.273373
    450   h0 1.000000 0.666667   0.900 0.700000       1       1 0.846154 0.769231       1     0.273373
    451   h0 1.000000 0.666667   0.900 0.700000       1       1 0.846154 0.769231       1     0.273373
    452   h0 1.000000 0.666667   0.810 0.500000       1       1 0.532764 0.384615       1     0.055325
    453   h0 0.210526 0.947368   0.475 0.952381       1       1 0.279202 0.642857       1     0.016194
    454   h0 0.619883 1.000000   0.690 1.000000       1       1 0.769231 0.769231       1     0.253088
    455   h0 0.666667 1.000000   0.700 1.000000       1       1 0.769231 0.769231       1     0.276134
    456   h0 0.666667 1.000000   0.700 1.000000       1       1 0.769231 0.769231       1     0.276134
    457   h0 0.666667 1.000000   0.650 0.714286       1       1 0.740741 0.461538       1     0.105820
    458   h0 0.947368 0.736842   0.950 0.952381       1       1 0.923077 0.670330       1     0.390799
    459   h0 1.000000 0.777778   1.000 1.000000       1       1 0.923077 0.769231       1     0.552268
    460   h0 1.000000 0.777778   1.000 1.000000       1       1 0.923077 0.769231       1     0.552268
    461   h0 1.000000 0.777778   1.000 1.000000       1       1 0.923077 0.769231       1     0.552268
    462   h0 1.000000 0.777778   0.900 0.714286       1       1 0.581197 0.461538       1     0.134122
    463   h0 0.631579 0.631579   0.760 0.666667       1       1 0.740741 0.769231       1     0.115160
    464   h0 0.666667 0.666667   0.800 0.700000       1       1 0.769231 0.769231       1     0.147272
    465   h0 0.666667 0.666667   0.800 0.700000       1       1 0.769231 0.769231       1     0.147272
