 ChipID Half   Layer0  Layer1  Layer2   Layer3   Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    812   h1 0.596491       1   0.695 0.723810 0.954545       1 0.769231 0.846154       1     0.186430
    813   h1 0.666667       1   0.700 0.800000 1.000000       1 0.769231 0.846154       1     0.242998
    814   h1 0.666667       1   0.700 0.800000 1.000000       1 0.769231 0.846154       1     0.242998
    815   h1 0.795322       1   0.950 0.642857 0.668182       1 0.769231 0.769231       1     0.192039
    816   h1 0.888889       1   1.000 0.700000 0.700000       1 0.769231 0.769231       1     0.257725
    817   h1 0.888889       1   1.000 0.700000 0.700000       1 0.769231 0.769231       1     0.257725
    818   h1 0.596491       1   0.700 0.666667 0.954545       1 0.769231 0.769231       1     0.157225
    819   h1 0.666667       1   0.700 0.700000 1.000000       1 0.769231 0.769231       1     0.193294
    820   h1 0.666667       1   0.700 0.700000 1.000000       1 0.769231 0.769231       1     0.193294
    821   h1 0.894737       1   0.800 0.952381 0.668182       1 0.769231 0.923077       1     0.323434
    822   h1 1.000000       1   0.800 1.000000 0.700000       1 0.769231 0.923077       1     0.397633
    823   h1 1.000000       1   0.800 1.000000 0.700000       1 0.769231 0.923077       1     0.397633
    860   h1 0.795322       1   0.665 0.952381 0.763636       1 0.846154 0.769231       1     0.250362
    861   h1 0.888889       1   0.700 1.000000 0.800000       1 0.846154 0.769231       1     0.323997
    862   h1 0.888889       1   0.700 1.000000 0.800000       1 0.846154 0.769231       1     0.323997
    863   h1 0.888889       1   0.700 1.000000 0.800000       1 0.846154 0.620879       1     0.261512
    864   h1 0.596491       1   0.855 0.666667 0.954545       1 1.000000 0.769231       1     0.249650
    865   h1 0.666667       1   0.900 0.700000 1.000000       1 1.000000 0.769231       1     0.323077
    866   h1 0.666667       1   0.900 0.700000 1.000000       1 1.000000 0.769231       1     0.323077
    867   h1 0.666667       1   0.900 0.700000 1.000000       1 1.000000 0.769231       1     0.323077
    868   h1 0.842105       1   0.900 0.642857 0.954545       1 0.683761 0.846154       1     0.269075
    869   h1 1.000000       1   1.000 0.700000 1.000000       1 0.769231 0.846154       1     0.455621
    870   h1 1.000000       1   1.000 0.700000 1.000000       1 0.769231 0.769231       1     0.414201
    871   h1 1.000000       1   1.000 0.676190 1.000000       1 0.769231 0.846154       1     0.440124
    872   h1 0.596491       1   0.700 0.700000 0.700000       1 0.757835 0.923077       1     0.143123
    873   h1 0.666667       1   0.700 0.700000 0.700000       1 0.769231 0.923077       1     0.162367
    874   h1 0.666667       1   0.700 0.700000 0.700000       1 0.769231 0.923077       1     0.162367
    875   h1 0.666667       1   0.700 0.700000 0.700000       1 0.769231 0.923077       1     0.162367
    876   h1 0.695906       1   0.700 1.000000 0.700000       1 0.769231 1.000000       1     0.262303
    877   h1 0.777778       1   0.700 1.000000 0.700000       1 0.769231 1.000000       1     0.293162
    878   h1 0.777778       1   0.700 1.000000 0.700000       1 0.769231 1.000000       1     0.293162
    879   h1 0.777778       1   0.700 1.000000 0.700000       1 0.769231 1.000000       1     0.293162
    880   h1 0.894737       1   1.000 0.700000 1.000000       1 0.814815 0.846154       1     0.431819
    881   h1 1.000000       1   1.000 0.700000 1.000000       1 0.846154 0.846154       1     0.501183
    882   h1 1.000000       1   1.000 0.700000 1.000000       1 0.769231 0.846154       1     0.455621
    883   h1 1.000000       1   1.000 0.700000 1.000000       1 0.769231 0.846154       1     0.455621
    884   h1 0.479532       1   0.625 0.647619 0.663636       1 0.925926 0.747253       1     0.089123
    885   h1 0.666667       1   0.700 0.800000 0.700000       1 1.000000 0.769231       1     0.201026
