 ChipID Half   Layer0   Layer1  Layer2   Layer3   Layer4  Layer5  Layer6  Layer7   Layer8  Pseaudo_Eff
    812   h1 0.596491 0.947368   0.695 0.723810 0.954545       1       1       1 0.785714     0.213203
    813   h1 0.666667 1.000000   0.700 0.800000 1.000000       1       1       1 0.785714     0.293333
    814   h1 0.666667 1.000000   0.700 0.800000 1.000000       1       1       1 0.785714     0.293333
    815   h1 0.795322 0.736842   0.950 0.642857 0.668182       1       1       1 0.785714     0.187895
    816   h1 0.888889 0.777778   1.000 0.700000 0.700000       1       1       1 0.785714     0.266173
    817   h1 0.888889 0.777778   1.000 0.700000 0.700000       1       1       1 0.785714     0.266173
    818   h1 0.596491 0.947368   0.700 0.666667 0.954545       1       1       1 0.857143     0.215764
    819   h1 0.666667 1.000000   0.700 0.700000 1.000000       1       1       1 0.857143     0.280000
    820   h1 0.666667 1.000000   0.700 0.700000 1.000000       1       1       1 0.857143     0.280000
    821   h1 0.894737 0.631579   0.800 0.952381 0.668182       1       1       1 0.857143     0.246588
    822   h1 1.000000 0.666667   0.800 1.000000 0.700000       1       1       1 0.788018     0.294194
    823   h1 1.000000 0.666667   0.800 1.000000 0.700000       1       1       1 0.785714     0.293333
    860   h1 0.795322 0.631579   0.665 0.952381 0.763636       1       1       1 0.785714     0.190877
    861   h1 0.888889 0.666667   0.700 1.000000 0.800000       1       1       1 0.785714     0.260741
    862   h1 0.888889 0.666667   0.700 1.000000 0.800000       1       1       1 0.785714     0.260741
    863   h1 0.888889 0.666667   0.700 1.000000 0.800000       1       1       1 0.785714     0.260741
    864   h1 0.596491 0.947368   0.855 0.666667 0.954545       1       1       1 0.785714     0.241579
    865   h1 0.666667 1.000000   0.900 0.700000 1.000000       1       1       1 0.785714     0.330000
    866   h1 0.666667 1.000000   0.900 0.700000 1.000000       1       1       1 0.785714     0.330000
    867   h1 0.666667 1.000000   0.900 0.700000 1.000000       1       1       1 0.785714     0.330000
    868   h1 0.842105 0.573099   0.900 0.642857 0.954545       1       1       1 0.737327     0.196522
    869   h1 1.000000 0.777778   1.000 0.700000 1.000000       1       1       1 0.785714     0.427778
    870   h1 1.000000 0.777778   1.000 0.700000 1.000000       1       1       1 0.785714     0.427778
    871   h1 1.000000 0.777778   1.000 0.676190 1.000000       1       1       1 0.767281     0.403533
    872   h1 0.596491 0.666667   0.700 0.700000 0.700000       1       1       1 0.778802     0.106227
    873   h1 0.666667 0.666667   0.700 0.700000 0.700000       1       1       1 0.785714     0.119778
    874   h1 0.666667 0.666667   0.700 0.700000 0.700000       1       1       1 0.785714     0.119778
    875   h1 0.666667 0.666667   0.700 0.700000 0.700000       1       1       1 0.785714     0.119778
    876   h1 0.695906 1.000000   0.700 1.000000 0.700000       1       1       1 0.760369     0.259281
    877   h1 0.777778 1.000000   0.700 1.000000 0.700000       1       1       1 0.785714     0.299444
    878   h1 0.777778 1.000000   0.700 1.000000 0.700000       1       1       1 0.785714     0.299444
    879   h1 0.777778 1.000000   0.700 1.000000 0.700000       1       1       1 0.785714     0.299444
    880   h1 0.894737 0.649123   1.000 0.700000 1.000000       1       1       1 0.744240     0.302575
    881   h1 1.000000 0.666667   1.000 0.700000 1.000000       1       1       1 0.785714     0.366667
    882   h1 1.000000 0.666667   1.000 0.700000 1.000000       1       1       1 0.785714     0.366667
    883   h1 1.000000 0.666667   1.000 0.700000 1.000000       1       1       1 0.767281     0.358065
    884   h1 0.479532 0.736842   0.625 0.647619 0.663636       1       1       1 0.702765     0.066701
    885   h1 0.666667 1.000000   0.700 0.800000 0.700000       1       1       1 0.785714     0.205333
    886   h1 0.666667 1.000000   0.700 0.800000 0.700000       1       1       1 0.785714     0.205333
    887   h1 0.666667 1.000000   0.700 0.800000 0.700000       1       1       1 0.785714     0.205333
    888   h1 0.947368 0.947368   0.700 0.952381 0.668182       1       1       1 0.785714     0.314127
    889   h1 1.000000 1.000000   0.700 1.000000 0.700000       1       1       1 0.788018     0.386129
    890   h1 1.000000 1.000000   0.700 1.000000 0.700000       1       1       1 0.788018     0.386129
    891   h1 1.000000 1.000000   0.700 1.000000 0.700000       1       1       1 0.785714     0.385000
    892   h1 0.695906 0.631579   1.000 0.761905 0.668182       1       1       1 0.857143     0.191790
    893   h1 0.777778 0.666667   1.000 0.800000 0.700000       1       1       1 0.857143     0.248889
    894   h1 0.777778 0.666667   1.000 0.800000 0.700000       1       1       1 0.790323     0.229486
    895   h1 0.777778 0.666667   1.000 0.900000 0.700000       1       1       1 0.714286     0.233333
    916   h1 0.894737 0.631579   0.900 0.661905 0.668182       1       1       1 0.785714     0.176734
    917   h1 1.000000 0.666667   0.900 0.700000 0.700000       1       1       1 0.785714     0.231000
    918   h1 1.000000 0.666667   0.900 0.700000 0.700000       1       1       1 0.785714     0.231000
    919   h1 1.000000 0.666667   0.900 0.700000 0.700000       1       1       1 0.785714     0.231000
    920   h1 1.000000 0.666667   0.810 0.500000 0.700000       1       1       1 0.785714     0.148500
    921   h1 0.298246 0.947368   0.510 0.904762 0.763636       1       1       1 0.619816     0.061709
    922   h1 0.631579 1.000000   0.690 1.000000 0.800000       1       1       1 0.785714     0.273925
    923   h1 0.666667 1.000000   0.700 1.000000 0.800000       1       1       1 0.785714     0.293333
    924   h1 0.666667 1.000000   0.700 1.000000 0.800000       1       1       1 0.785714     0.293333
    925   h1 0.666667 1.000000   0.650 0.714286 0.800000       1       1       1 0.764977     0.189423
    926   h1 0.894737 0.631579   1.000 0.900000 0.668182       1       1       1 0.714286     0.242735
    927   h1 1.000000 0.666667   1.000 0.900000 0.700000       1       1       1 0.714286     0.300000
    928   h1 1.000000 0.666667   1.000 1.000000 0.700000       1       1       1 0.714286     0.333333
    929   h1 1.000000 0.666667   1.000 1.000000 0.700000       1       1       1 0.781106     0.364516
    930   h1 1.000000 0.666667   0.900 0.714286 0.700000       1       1       1 0.785714     0.235714
    931   h1 0.619883 0.736842   0.800 0.700000 0.954545       1       1       1 0.785714     0.191837
    932   h1 0.666667 0.777778   0.800 0.700000 1.000000       1       1       1 0.788018     0.228817
    933   h1 0.666667 0.777778   0.800 0.700000 1.000000       1       1       1 0.854839     0.248220
    934   h1 0.666667 0.777778   0.800 0.700000 1.000000       1       1       1 0.790323     0.229486
    935   h1 0.666667 0.777778   0.720 0.500000 1.000000       1       1       1 0.721198     0.134624
