 ChipID Half   Layer0   Layer1  Layer2   Layer3   Layer4  Layer5  Layer6   Layer7  Layer8  Pseaudo_Eff
    812   h1 0.596491 0.947368   0.695 0.723810 0.954545       1       1 0.846154       1     0.229603
    813   h1 0.666667 1.000000   0.700 0.800000 1.000000       1       1 0.846154       1     0.315897
    814   h1 0.666667 1.000000   0.700 0.800000 1.000000       1       1 0.846154       1     0.315897
    815   h1 0.795322 0.736842   0.950 0.642857 0.668182       1       1 0.769231       1     0.183953
    816   h1 0.888889 0.777778   1.000 0.700000 0.700000       1       1 0.769231       1     0.260589
    817   h1 0.888889 0.777778   1.000 0.700000 0.700000       1       1 0.769231       1     0.260589
    818   h1 0.596491 0.947368   0.700 0.666667 0.954545       1       1 0.769231       1     0.193635
    819   h1 0.666667 1.000000   0.700 0.700000 1.000000       1       1 0.769231       1     0.251282
    820   h1 0.666667 1.000000   0.700 0.700000 1.000000       1       1 0.769231       1     0.251282
    821   h1 0.894737 0.631579   0.800 0.952381 0.668182       1       1 0.923077       1     0.265556
    822   h1 1.000000 0.666667   0.800 1.000000 0.700000       1       1 0.923077       1     0.344615
    823   h1 1.000000 0.666667   0.800 1.000000 0.700000       1       1 0.923077       1     0.344615
    860   h1 0.795322 0.631579   0.665 0.952381 0.763636       1       1 0.769231       1     0.186873
    861   h1 0.888889 0.666667   0.700 1.000000 0.800000       1       1 0.769231       1     0.255271
    862   h1 0.888889 0.666667   0.700 1.000000 0.800000       1       1 0.769231       1     0.255271
    863   h1 0.888889 0.666667   0.700 1.000000 0.800000       1       1 0.620879       1     0.206040
    864   h1 0.596491 0.947368   0.855 0.666667 0.954545       1       1 0.769231       1     0.236511
    865   h1 0.666667 1.000000   0.900 0.700000 1.000000       1       1 0.769231       1     0.323077
    866   h1 0.666667 1.000000   0.900 0.700000 1.000000       1       1 0.769231       1     0.323077
    867   h1 0.666667 1.000000   0.900 0.700000 1.000000       1       1 0.769231       1     0.323077
    868   h1 0.842105 0.573099   0.900 0.642857 0.954545       1       1 0.846154       1     0.225527
    869   h1 1.000000 0.777778   1.000 0.700000 1.000000       1       1 0.846154       1     0.460684
    870   h1 1.000000 0.777778   1.000 0.700000 1.000000       1       1 0.769231       1     0.418803
    871   h1 1.000000 0.777778   1.000 0.676190 1.000000       1       1 0.846154       1     0.445014
    872   h1 0.596491 0.666667   0.700 0.700000 0.700000       1       1 0.923077       1     0.125906
    873   h1 0.666667 0.666667   0.700 0.700000 0.700000       1       1 0.923077       1     0.140718
    874   h1 0.666667 0.666667   0.700 0.700000 0.700000       1       1 0.923077       1     0.140718
    875   h1 0.666667 0.666667   0.700 0.700000 0.700000       1       1 0.923077       1     0.140718
    876   h1 0.695906 1.000000   0.700 1.000000 0.700000       1       1 1.000000       1     0.340994
    877   h1 0.777778 1.000000   0.700 1.000000 0.700000       1       1 1.000000       1     0.381111
    878   h1 0.777778 1.000000   0.700 1.000000 0.700000       1       1 1.000000       1     0.381111
    879   h1 0.777778 1.000000   0.700 1.000000 0.700000       1       1 1.000000       1     0.381111
    880   h1 0.894737 0.649123   1.000 0.700000 1.000000       1       1 0.846154       1     0.344009
    881   h1 1.000000 0.666667   1.000 0.700000 1.000000       1       1 0.846154       1     0.394872
    882   h1 1.000000 0.666667   1.000 0.700000 1.000000       1       1 0.846154       1     0.394872
    883   h1 1.000000 0.666667   1.000 0.700000 1.000000       1       1 0.846154       1     0.394872
    884   h1 0.479532 0.736842   0.625 0.647619 0.663636       1       1 0.747253       1     0.070923
    885   h1 0.666667 1.000000   0.700 0.800000 0.700000       1       1 0.769231       1     0.201026
    886   h1 0.666667 1.000000   0.700 0.800000 0.700000       1       1 0.769231       1     0.201026
    887   h1 0.666667 1.000000   0.700 0.800000 0.700000       1       1 0.769231       1     0.201026
    888   h1 0.947368 0.947368   0.700 0.952381 0.668182       1       1 0.769231       1     0.307537
    889   h1 1.000000 1.000000   0.700 1.000000 0.700000       1       1 0.769231       1     0.376923
    890   h1 1.000000 1.000000   0.700 1.000000 0.700000       1       1 0.769231       1     0.376923
    891   h1 1.000000 1.000000   0.700 1.000000 0.700000       1       1 0.769231       1     0.376923
    892   h1 0.695906 0.631579   1.000 0.761905 0.668182       1       1 0.769231       1     0.172120
    893   h1 0.777778 0.666667   1.000 0.800000 0.700000       1       1 0.769231       1     0.223362
    894   h1 0.777778 0.666667   1.000 0.800000 0.700000       1       1 0.769231       1     0.223362
    895   h1 0.777778 0.666667   1.000 0.900000 0.700000       1       1 0.670330       1     0.218974
    916   h1 0.894737 0.631579   0.900 0.661905 0.668182       1       1 0.769231       1     0.173026
    917   h1 1.000000 0.666667   0.900 0.700000 0.700000       1       1 0.769231       1     0.226154
    918   h1 1.000000 0.666667   0.900 0.700000 0.700000       1       1 0.769231       1     0.226154
    919   h1 1.000000 0.666667   0.900 0.700000 0.700000       1       1 0.769231       1     0.226154
    920   h1 1.000000 0.666667   0.810 0.500000 0.700000       1       1 0.376374       1     0.071135
    921   h1 0.298246 0.947368   0.510 0.904762 0.763636       1       1 0.706044       1     0.070294
    922   h1 0.631579 1.000000   0.690 1.000000 0.800000       1       1 0.769231       1     0.268178
    923   h1 0.666667 1.000000   0.700 1.000000 0.800000       1       1 0.769231       1     0.287179
    924   h1 0.666667 1.000000   0.700 1.000000 0.800000       1       1 0.769231       1     0.287179
    925   h1 0.666667 1.000000   0.650 0.714286 0.800000       1       1 0.398352       1     0.098639
    926   h1 0.894737 0.631579   1.000 0.900000 0.668182       1       1 0.620879       1     0.210993
    927   h1 1.000000 0.666667   1.000 0.900000 0.700000       1       1 0.769231       1     0.323077
    928   h1 1.000000 0.666667   1.000 1.000000 0.700000       1       1 0.769231       1     0.358974
    929   h1 1.000000 0.666667   1.000 1.000000 0.700000       1       1 0.769231       1     0.358974
    930   h1 1.000000 0.666667   0.900 0.714286 0.700000       1       1 0.500000       1     0.150000
    931   h1 0.619883 0.736842   0.800 0.700000 0.954545       1       1 0.769231       1     0.187813
    932   h1 0.666667 0.777778   0.800 0.700000 1.000000       1       1 0.769231       1     0.223362
    933   h1 0.666667 0.777778   0.800 0.700000 1.000000       1       1 0.769231       1     0.223362
    934   h1 0.666667 0.777778   0.800 0.700000 1.000000       1       1 0.769231       1     0.223362
    935   h1 0.666667 0.777778   0.720 0.500000 1.000000       1       1 0.370879       1     0.069231
