 ChipID Half   Layer0   Layer1  Layer2   Layer3  Layer4  Layer5  Layer6   Layer7   Layer8  Pseaudo_Eff
    869   h1 1.000000 0.777778   1.000 0.700000       1       1       1 0.846154 0.785714     0.361966
    870   h1 1.000000 0.777778   1.000 0.700000       1       1       1 0.769231 0.785714     0.329060
    871   h1 1.000000 0.777778   1.000 0.676190       1       1       1 0.846154 0.767281     0.341451
    872   h1 0.596491 0.666667   0.700 0.700000       1       1       1 0.923077 0.778802     0.140079
    873   h1 0.666667 0.666667   0.700 0.700000       1       1       1 0.923077 0.785714     0.157949
    874   h1 0.666667 0.666667   0.700 0.700000       1       1       1 0.923077 0.785714     0.157949
    875   h1 0.666667 0.666667   0.700 0.700000       1       1       1 0.923077 0.785714     0.157949
    876   h1 0.695906 1.000000   0.700 1.000000       1       1       1 1.000000 0.760369     0.370402
    877   h1 0.777778 1.000000   0.700 1.000000       1       1       1 1.000000 0.785714     0.427778
    878   h1 0.777778 1.000000   0.700 1.000000       1       1       1 1.000000 0.785714     0.427778
    879   h1 0.777778 1.000000   0.700 1.000000       1       1       1 1.000000 0.785714     0.427778
    880   h1 0.894737 0.649123   1.000 0.700000       1       1       1 0.846154 0.744240     0.256025
    881   h1 1.000000 0.666667   1.000 0.700000       1       1       1 0.846154 0.785714     0.310256
    882   h1 1.000000 0.666667   1.000 0.700000       1       1       1 0.846154 0.785714     0.310256
    883   h1 1.000000 0.666667   1.000 0.700000       1       1       1 0.846154 0.767281     0.302978
    884   h1 0.479532 0.736842   0.625 0.647619       1       1       1 0.747253 0.702765     0.075105
    885   h1 0.666667 1.000000   0.700 0.800000       1       1       1 0.769231 0.785714     0.225641
    886   h1 0.666667 1.000000   0.700 0.800000       1       1       1 0.769231 0.785714     0.225641
    887   h1 0.666667 1.000000   0.700 0.800000       1       1       1 0.769231 0.785714     0.225641
    888   h1 0.947368 0.947368   0.700 0.952381       1       1       1 0.769231 0.785714     0.361633
    889   h1 1.000000 1.000000   0.700 1.000000       1       1       1 0.769231 0.788018     0.424318
    890   h1 1.000000 1.000000   0.700 1.000000       1       1       1 0.769231 0.788018     0.424318
    891   h1 1.000000 1.000000   0.700 1.000000       1       1       1 0.769231 0.785714     0.423077
    892   h1 0.695906 0.631579   1.000 0.761905       1       1       1 0.769231 0.857143     0.220795
    893   h1 0.777778 0.666667   1.000 0.800000       1       1       1 0.769231 0.857143     0.273504
    894   h1 0.777778 0.666667   1.000 0.800000       1       1       1 0.769231 0.790323     0.252183
    895   h1 0.777778 0.666667   1.000 0.900000       1       1       1 0.670330 0.714286     0.223443
    916   h1 0.894737 0.631579   0.900 0.661905       1       1       1 0.769231 0.785714     0.203462
    917   h1 1.000000 0.666667   0.900 0.700000       1       1       1 0.769231 0.785714     0.253846
    918   h1 1.000000 0.666667   0.900 0.700000       1       1       1 0.769231 0.785714     0.253846
    919   h1 1.000000 0.666667   0.900 0.700000       1       1       1 0.769231 0.785714     0.253846
    920   h1 1.000000 0.666667   0.810 0.500000       1       1       1 0.376374 0.785714     0.079845
    921   h1 0.298246 0.947368   0.510 0.904762       1       1       1 0.706044 0.619816     0.057055
    922   h1 0.631579 1.000000   0.690 1.000000       1       1       1 0.769231 0.785714     0.263389
    923   h1 0.666667 1.000000   0.700 1.000000       1       1       1 0.769231 0.785714     0.282051
    924   h1 0.666667 1.000000   0.700 1.000000       1       1       1 0.769231 0.785714     0.282051
    925   h1 0.666667 1.000000   0.650 0.714286       1       1       1 0.398352 0.764977     0.094321
    926   h1 0.894737 0.631579   1.000 0.900000       1       1       1 0.620879 0.714286     0.225551
    927   h1 1.000000 0.666667   1.000 0.900000       1       1       1 0.769231 0.714286     0.329670
    928   h1 1.000000 0.666667   1.000 1.000000       1       1       1 0.769231 0.714286     0.366300
    929   h1 1.000000 0.666667   1.000 1.000000       1       1       1 0.769231 0.781106     0.400567
    930   h1 1.000000 0.666667   0.900 0.714286       1       1       1 0.500000 0.785714     0.168367
    931   h1 0.619883 0.736842   0.800 0.700000       1       1       1 0.769231 0.785714     0.154594
    932   h1 0.666667 0.777778   0.800 0.700000       1       1       1 0.769231 0.788018     0.176013
    933   h1 0.666667 0.777778   0.800 0.700000       1       1       1 0.769231 0.854839     0.190938
    934   h1 0.666667 0.777778   0.800 0.700000       1       1       1 0.769231 0.790323     0.176528
    935   h1 0.666667 0.777778   0.720 0.500000       1       1       1 0.370879 0.721198     0.049929
