 ChipID Half   Layer0   Layer1  Layer2   Layer3  Layer4   Layer5  Layer6  Layer7   Layer8  Pseaudo_Eff
    812   h1 0.596491 0.947368   0.695 0.723810       1 0.800000       1       1 0.785714     0.178684
    813   h1 0.666667 1.000000   0.700 0.800000       1 0.750000       1       1 0.785714     0.220000
    814   h1 0.666667 1.000000   0.700 0.800000       1 0.686364       1       1 0.785714     0.201333
    815   h1 0.795322 0.736842   0.950 0.642857       1 0.900000       1       1 0.785714     0.253083
    816   h1 0.888889 0.777778   1.000 0.700000       1 0.900000       1       1 0.785714     0.342222
    817   h1 0.888889 0.777778   1.000 0.700000       1 0.900000       1       1 0.785714     0.342222
    818   h1 0.596491 0.947368   0.700 0.666667       1 0.800000       1       1 0.857143     0.180831
    819   h1 0.666667 1.000000   0.700 0.700000       1 0.800000       1       1 0.857143     0.224000
    820   h1 0.666667 1.000000   0.700 0.700000       1 0.800000       1       1 0.857143     0.224000
    821   h1 0.894737 0.631579   0.800 0.952381       1 0.700000       1       1 0.857143     0.258330
    822   h1 1.000000 0.666667   0.800 1.000000       1 0.650000       1       1 0.788018     0.273180
    823   h1 1.000000 0.666667   0.800 1.000000       1 0.595455       1       1 0.785714     0.249524
    860   h1 0.795322 0.631579   0.665 0.952381       1 1.000000       1       1 0.785714     0.249958
    861   h1 0.888889 0.666667   0.700 1.000000       1 1.000000       1       1 0.785714     0.325926
    862   h1 0.888889 0.666667   0.700 1.000000       1 1.000000       1       1 0.785714     0.325926
    863   h1 0.888889 0.666667   0.700 1.000000       1 1.000000       1       1 0.785714     0.325926
    864   h1 0.596491 0.947368   0.855 0.666667       1 0.700000       1       1 0.785714     0.177158
    865   h1 0.666667 1.000000   0.900 0.700000       1 0.700000       1       1 0.785714     0.231000
    866   h1 0.666667 1.000000   0.900 0.700000       1 0.700000       1       1 0.785714     0.231000
    867   h1 0.666667 1.000000   0.900 0.700000       1 0.700000       1       1 0.785714     0.231000
    868   h1 0.842105 0.573099   0.900 0.642857       1 0.677273       1       1 0.737327     0.139437
    869   h1 1.000000 0.777778   1.000 0.700000       1 0.700000       1       1 0.785714     0.299444
    870   h1 1.000000 0.777778   1.000 0.700000       1 0.700000       1       1 0.785714     0.299444
    871   h1 1.000000 0.777778   1.000 0.676190       1 0.700000       1       1 0.767281     0.282473
    872   h1 0.596491 0.666667   0.700 0.700000       1 0.700000       1       1 0.778802     0.106227
    873   h1 0.666667 0.666667   0.700 0.700000       1 0.700000       1       1 0.785714     0.119778
    874   h1 0.666667 0.666667   0.700 0.700000       1 0.700000       1       1 0.785714     0.119778
    875   h1 0.666667 0.666667   0.700 0.700000       1 0.700000       1       1 0.785714     0.119778
    876   h1 0.695906 1.000000   0.700 1.000000       1 1.000000       1       1 0.760369     0.370402
    877   h1 0.777778 1.000000   0.700 1.000000       1 1.000000       1       1 0.785714     0.427778
    878   h1 0.777778 1.000000   0.700 1.000000       1 1.000000       1       1 0.785714     0.427778
    879   h1 0.777778 1.000000   0.700 1.000000       1 1.000000       1       1 0.785714     0.427778
    880   h1 0.894737 0.649123   1.000 0.700000       1 0.700000       1       1 0.744240     0.211802
    881   h1 1.000000 0.666667   1.000 0.700000       1 0.700000       1       1 0.785714     0.256667
    882   h1 1.000000 0.666667   1.000 0.700000       1 0.700000       1       1 0.785714     0.256667
    883   h1 1.000000 0.666667   1.000 0.700000       1 0.700000       1       1 0.767281     0.250645
    884   h1 0.479532 0.736842   0.625 0.647619       1 0.618182       1       1 0.702765     0.062132
    885   h1 0.666667 1.000000   0.700 0.800000       1 0.700000       1       1 0.785714     0.205333
