 ChipID Half   Layer0   Layer1  Layer2   Layer3   Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    466   h0 0.666667 0.666667       1 0.700000 1.000000       1 0.769231 0.769231       1     0.184089
    467   h0 0.666667 0.666667       1 0.500000 1.000000       1 0.484330 0.384615       1     0.041396
    812   h1 0.596491 0.947368       1 0.723810 0.954545       1 0.769231 0.846154       1     0.254126
    813   h1 0.666667 1.000000       1 0.800000 1.000000       1 0.769231 0.846154       1     0.347140
    814   h1 0.666667 1.000000       1 0.800000 1.000000       1 0.769231 0.846154       1     0.347140
    815   h1 0.795322 0.736842       1 0.642857 0.668182       1 0.769231 0.769231       1     0.148950
    816   h1 0.888889 0.777778       1 0.700000 0.700000       1 0.769231 0.769231       1     0.200453
    817   h1 0.888889 0.777778       1 0.700000 0.700000       1 0.769231 0.769231       1     0.200453
    818   h1 0.596491 0.947368       1 0.666667 0.954545       1 0.769231 0.769231       1     0.212785
    819   h1 0.666667 1.000000       1 0.700000 1.000000       1 0.769231 0.769231       1     0.276134
    820   h1 0.666667 1.000000       1 0.700000 1.000000       1 0.769231 0.769231       1     0.276134
    821   h1 0.894737 0.631579       1 0.952381 0.668182       1 0.769231 0.923077       1     0.255342
    822   h1 1.000000 0.666667       1 1.000000 0.700000       1 0.769231 0.923077       1     0.331361
    823   h1 1.000000 0.666667       1 1.000000 0.700000       1 0.769231 0.923077       1     0.331361
    860   h1 0.795322 0.631579       1 0.952381 0.763636       1 0.846154 0.769231       1     0.237779
    861   h1 0.888889 0.666667       1 1.000000 0.800000       1 0.846154 0.769231       1     0.308569
    862   h1 0.888889 0.666667       1 1.000000 0.800000       1 0.846154 0.769231       1     0.308569
    863   h1 0.888889 0.666667       1 1.000000 0.800000       1 0.846154 0.620879       1     0.249059
    864   h1 0.596491 0.947368       1 0.666667 0.954545       1 1.000000 0.769231       1     0.276621
    865   h1 0.666667 1.000000       1 0.700000 1.000000       1 1.000000 0.769231       1     0.358974
    866   h1 0.666667 1.000000       1 0.700000 1.000000       1 1.000000 0.769231       1     0.358974
    867   h1 0.666667 1.000000       1 0.700000 1.000000       1 1.000000 0.769231       1     0.358974
    868   h1 0.842105 0.573099       1 0.642857 0.954545       1 0.683761 0.846154       1     0.171341
    869   h1 1.000000 0.777778       1 0.700000 1.000000       1 0.769231 0.846154       1     0.354372
    870   h1 1.000000 0.777778       1 0.700000 1.000000       1 0.769231 0.769231       1     0.322156
    871   h1 1.000000 0.777778       1 0.676190 1.000000       1 0.769231 0.846154       1     0.342319
    872   h1 0.596491 0.666667       1 0.700000 0.700000       1 0.757835 0.923077       1     0.136308
    873   h1 0.666667 0.666667       1 0.700000 0.700000       1 0.769231 0.923077       1     0.154635
    874   h1 0.666667 0.666667       1 0.700000 0.700000       1 0.769231 0.923077       1     0.154635
    875   h1 0.666667 0.666667       1 0.700000 0.700000       1 0.769231 0.923077       1     0.154635
    876   h1 0.695906 1.000000       1 1.000000 0.700000       1 0.769231 1.000000       1     0.374719
    877   h1 0.777778 1.000000       1 1.000000 0.700000       1 0.769231 1.000000       1     0.418803
    878   h1 0.777778 1.000000       1 1.000000 0.700000       1 0.769231 1.000000       1     0.418803
    879   h1 0.777778 1.000000       1 1.000000 0.700000       1 0.769231 1.000000       1     0.418803
    880   h1 0.894737 0.649123       1 0.700000 1.000000       1 0.814815 0.846154       1     0.280303
    881   h1 1.000000 0.666667       1 0.700000 1.000000       1 0.846154 0.846154       1     0.334122
    882   h1 1.000000 0.666667       1 0.700000 1.000000       1 0.769231 0.846154       1     0.303748
    883   h1 1.000000 0.666667       1 0.700000 1.000000       1 0.769231 0.846154       1     0.303748
