 ChipID Half   Layer0   Layer1  Layer2   Layer3   Layer4  Layer5   Layer6  Layer7  Layer8  Pseaudo_Eff
    812   h1 0.596491 0.947368   0.695 0.723810 0.954545       1 0.769231       1       1     0.208730
    813   h1 0.666667 1.000000   0.700 0.800000 1.000000       1 0.769231       1       1     0.287179
    814   h1 0.666667 1.000000   0.700 0.800000 1.000000       1 0.769231       1       1     0.287179
    815   h1 0.795322 0.736842   0.950 0.642857 0.668182       1 0.769231       1       1     0.183953
    816   h1 0.888889 0.777778   1.000 0.700000 0.700000       1 0.769231       1       1     0.260589
    817   h1 0.888889 0.777778   1.000 0.700000 0.700000       1 0.769231       1       1     0.260589
    818   h1 0.596491 0.947368   0.700 0.666667 0.954545       1 0.769231       1       1     0.193635
    819   h1 0.666667 1.000000   0.700 0.700000 1.000000       1 0.769231       1       1     0.251282
    820   h1 0.666667 1.000000   0.700 0.700000 1.000000       1 0.769231       1       1     0.251282
    821   h1 0.894737 0.631579   0.800 0.952381 0.668182       1 0.769231       1       1     0.221297
    822   h1 1.000000 0.666667   0.800 1.000000 0.700000       1 0.769231       1       1     0.287179
    823   h1 1.000000 0.666667   0.800 1.000000 0.700000       1 0.769231       1       1     0.287179
    860   h1 0.795322 0.631579   0.665 0.952381 0.763636       1 0.846154       1       1     0.205560
    861   h1 0.888889 0.666667   0.700 1.000000 0.800000       1 0.846154       1       1     0.280798
    862   h1 0.888889 0.666667   0.700 1.000000 0.800000       1 0.846154       1       1     0.280798
    863   h1 0.888889 0.666667   0.700 1.000000 0.800000       1 0.846154       1       1     0.280798
    864   h1 0.596491 0.947368   0.855 0.666667 0.954545       1 1.000000       1       1     0.307464
    865   h1 0.666667 1.000000   0.900 0.700000 1.000000       1 1.000000       1       1     0.420000
    866   h1 0.666667 1.000000   0.900 0.700000 1.000000       1 1.000000       1       1     0.420000
    867   h1 0.666667 1.000000   0.900 0.700000 1.000000       1 1.000000       1       1     0.420000
    868   h1 0.842105 0.573099   0.900 0.642857 0.954545       1 0.683761       1       1     0.182244
    869   h1 1.000000 0.777778   1.000 0.700000 1.000000       1 0.769231       1       1     0.418803
    870   h1 1.000000 0.777778   1.000 0.700000 1.000000       1 0.769231       1       1     0.418803
    871   h1 1.000000 0.777778   1.000 0.676190 1.000000       1 0.769231       1       1     0.404558
    872   h1 0.596491 0.666667   0.700 0.700000 0.700000       1 0.757835       1       1     0.103367
    873   h1 0.666667 0.666667   0.700 0.700000 0.700000       1 0.769231       1       1     0.117265
    874   h1 0.666667 0.666667   0.700 0.700000 0.700000       1 0.769231       1       1     0.117265
    875   h1 0.666667 0.666667   0.700 0.700000 0.700000       1 0.769231       1       1     0.117265
    876   h1 0.695906 1.000000   0.700 1.000000 0.700000       1 0.769231       1       1     0.262303
    877   h1 0.777778 1.000000   0.700 1.000000 0.700000       1 0.769231       1       1     0.293162
    878   h1 0.777778 1.000000   0.700 1.000000 0.700000       1 0.769231       1       1     0.293162
    879   h1 0.777778 1.000000   0.700 1.000000 0.700000       1 0.769231       1       1     0.293162
    880   h1 0.894737 0.649123   1.000 0.700000 1.000000       1 0.814815       1       1     0.331268
    881   h1 1.000000 0.666667   1.000 0.700000 1.000000       1 0.846154       1       1     0.394872
    882   h1 1.000000 0.666667   1.000 0.700000 1.000000       1 0.769231       1       1     0.358974
    883   h1 1.000000 0.666667   1.000 0.700000 1.000000       1 0.769231       1       1     0.358974
    884   h1 0.479532 0.736842   0.625 0.647619 0.663636       1 0.925926       1       1     0.087882
    885   h1 0.666667 1.000000   0.700 0.800000 0.700000       1 1.000000       1       1     0.261333
    886   h1 0.666667 1.000000   0.700 0.800000 0.700000       1 1.000000       1       1     0.261333
    887   h1 0.666667 1.000000   0.700 0.800000 0.700000       1 1.000000       1       1     0.261333
    888   h1 0.947368 0.947368   0.700 0.952381 0.668182       1 0.769231       1       1     0.307537
    889   h1 1.000000 1.000000   0.700 1.000000 0.700000       1 0.769231       1       1     0.376923
    890   h1 1.000000 1.000000   0.700 1.000000 0.700000       1 0.769231       1       1     0.376923
    891   h1 1.000000 1.000000   0.700 1.000000 0.700000       1 0.769231       1       1     0.376923
    892   h1 0.695906 0.631579   1.000 0.761905 0.668182       1 0.769231       1       1     0.172120
    893   h1 0.777778 0.666667   1.000 0.800000 0.700000       1 0.769231       1       1     0.223362
    894   h1 0.777778 0.666667   1.000 0.800000 0.700000       1 0.769231       1       1     0.223362
    895   h1 0.777778 0.666667   1.000 0.900000 0.700000       1 0.555556       1       1     0.181481
    916   h1 0.894737 0.631579   0.900 0.661905 0.668182       1 0.846154       1       1     0.190329
    917   h1 1.000000 0.666667   0.900 0.700000 0.700000       1 0.846154       1       1     0.248769
    918   h1 1.000000 0.666667   0.900 0.700000 0.700000       1 0.846154       1       1     0.248769
    919   h1 1.000000 0.666667   0.900 0.700000 0.700000       1 0.846154       1       1     0.248769
    920   h1 1.000000 0.666667   0.810 0.500000 0.700000       1 0.532764       1       1     0.100692
    921   h1 0.298246 0.947368   0.510 0.904762 0.763636       1 0.307692       1       1     0.030634
    922   h1 0.631579 1.000000   0.690 1.000000 0.800000       1 0.769231       1       1     0.268178
    923   h1 0.666667 1.000000   0.700 1.000000 0.800000       1 0.769231       1       1     0.287179
    924   h1 0.666667 1.000000   0.700 1.000000 0.800000       1 0.769231       1       1     0.287179
    925   h1 0.666667 1.000000   0.650 0.714286 0.800000       1 0.740741       1       1     0.183422
    926   h1 0.894737 0.631579   1.000 0.900000 0.668182       1 0.923077       1       1     0.313688
    927   h1 1.000000 0.666667   1.000 0.900000 0.700000       1 0.923077       1       1     0.387692
    928   h1 1.000000 0.666667   1.000 1.000000 0.700000       1 0.923077       1       1     0.430769
    929   h1 1.000000 0.666667   1.000 1.000000 0.700000       1 0.923077       1       1     0.430769
    930   h1 1.000000 0.666667   0.900 0.714286 0.700000       1 0.547009       1       1     0.164103
    931   h1 0.619883 0.736842   0.800 0.700000 0.954545       1 0.769231       1       1     0.187813
    932   h1 0.666667 0.777778   0.800 0.700000 1.000000       1 0.769231       1       1     0.223362
    933   h1 0.666667 0.777778   0.800 0.700000 1.000000       1 0.769231       1       1     0.223362
    934   h1 0.666667 0.777778   0.800 0.700000 1.000000       1 0.769231       1       1     0.223362
    935   h1 0.666667 0.777778   0.720 0.500000 1.000000       1 0.455840       1       1     0.085090
