 ChipID Half  Layer0   Layer1  Layer2   Layer3   Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    812   h1       1 0.947368   0.695 0.723810 0.954545       1 0.769231 0.846154       1     0.296095
    813   h1       1 1.000000   0.700 0.800000 1.000000       1 0.769231 0.846154       1     0.364497
    814   h1       1 1.000000   0.700 0.800000 1.000000       1 0.769231 0.846154       1     0.364497
    815   h1       1 0.736842   0.950 0.642857 0.668182       1 0.769231 0.769231       1     0.177918
    816   h1       1 0.777778   1.000 0.700000 0.700000       1 0.769231 0.769231       1     0.225510
    817   h1       1 0.777778   1.000 0.700000 0.700000       1 0.769231 0.769231       1     0.225510
    818   h1       1 0.947368   0.700 0.666667 0.954545       1 0.769231 0.769231       1     0.249710
    819   h1       1 1.000000   0.700 0.700000 1.000000       1 0.769231 0.769231       1     0.289941
    820   h1       1 1.000000   0.700 0.700000 1.000000       1 0.769231 0.769231       1     0.289941
    821   h1       1 0.631579   0.800 0.952381 0.668182       1 0.769231 0.923077       1     0.228306
    822   h1       1 0.666667   0.800 1.000000 0.700000       1 0.769231 0.923077       1     0.265089
    823   h1       1 0.666667   0.800 1.000000 0.700000       1 0.769231 0.923077       1     0.265089
    860   h1       1 0.631579   0.665 0.952381 0.763636       1 0.846154 0.769231       1     0.198817
    861   h1       1 0.666667   0.700 1.000000 0.800000       1 0.846154 0.769231       1     0.242998
    862   h1       1 0.666667   0.700 1.000000 0.800000       1 0.846154 0.769231       1     0.242998
    863   h1       1 0.666667   0.700 1.000000 0.800000       1 0.846154 0.620879       1     0.196134
    864   h1       1 0.947368   0.855 0.666667 0.954545       1 1.000000 0.769231       1     0.396503
    865   h1       1 1.000000   0.900 0.700000 1.000000       1 1.000000 0.769231       1     0.484615
    866   h1       1 1.000000   0.900 0.700000 1.000000       1 1.000000 0.769231       1     0.484615
    867   h1       1 1.000000   0.900 0.700000 1.000000       1 1.000000 0.769231       1     0.484615
    868   h1       1 0.573099   0.900 0.642857 0.954545       1 0.683761 0.846154       1     0.183121
    869   h1       1 0.777778   1.000 0.700000 1.000000       1 0.769231 0.846154       1     0.354372
    870   h1       1 0.777778   1.000 0.700000 1.000000       1 0.769231 0.769231       1     0.322156
    871   h1       1 0.777778   1.000 0.676190 1.000000       1 0.769231 0.846154       1     0.342319
    872   h1       1 0.666667   0.700 0.700000 0.700000       1 0.757835 0.923077       1     0.159961
    873   h1       1 0.666667   0.700 0.700000 0.700000       1 0.769231 0.923077       1     0.162367
    874   h1       1 0.666667   0.700 0.700000 0.700000       1 0.769231 0.923077       1     0.162367
    875   h1       1 0.666667   0.700 0.700000 0.700000       1 0.769231 0.923077       1     0.162367
    876   h1       1 1.000000   0.700 1.000000 0.700000       1 0.769231 1.000000       1     0.376923
    877   h1       1 1.000000   0.700 1.000000 0.700000       1 0.769231 1.000000       1     0.376923
    878   h1       1 1.000000   0.700 1.000000 0.700000       1 0.769231 1.000000       1     0.376923
    879   h1       1 1.000000   0.700 1.000000 0.700000       1 0.769231 1.000000       1     0.376923
    880   h1       1 0.649123   1.000 0.700000 1.000000       1 0.814815 0.846154       1     0.313280
    881   h1       1 0.666667   1.000 0.700000 1.000000       1 0.846154 0.846154       1     0.334122
    882   h1       1 0.666667   1.000 0.700000 1.000000       1 0.769231 0.846154       1     0.303748
    883   h1       1 0.666667   1.000 0.700000 1.000000       1 0.769231 0.846154       1     0.303748
    884   h1       1 0.736842   0.625 0.647619 0.663636       1 0.925926 0.747253       1     0.136946
    885   h1       1 1.000000   0.700 0.800000 0.700000       1 1.000000 0.769231       1     0.301538
    886   h1       1 1.000000   0.700 0.800000 0.700000       1 1.000000 0.769231       1     0.301538
    887   h1       1 1.000000   0.700 0.800000 0.700000       1 1.000000 0.769231       1     0.301538
    888   h1       1 0.947368   0.700 0.952381 0.668182       1 0.769231 0.769231       1     0.249710
    889   h1       1 1.000000   0.700 1.000000 0.700000       1 0.769231 0.769231       1     0.289941
    890   h1       1 1.000000   0.700 1.000000 0.700000       1 0.769231 0.769231       1     0.289941
    891   h1       1 1.000000   0.700 1.000000 0.700000       1 0.769231 0.769231       1     0.289941
    892   h1       1 0.631579   1.000 0.761905 0.668182       1 0.769231 0.769231       1     0.190255
    893   h1       1 0.666667   1.000 0.800000 0.700000       1 0.769231 0.769231       1     0.220907
    894   h1       1 0.666667   1.000 0.800000 0.700000       1 0.769231 0.769231       1     0.220907
    895   h1       1 0.666667   1.000 0.900000 0.700000       1 0.555556 0.670330       1     0.156410
    916   h1       1 0.631579   0.900 0.661905 0.668182       1 0.846154 0.769231       1     0.163631
    917   h1       1 0.666667   0.900 0.700000 0.700000       1 0.846154 0.769231       1     0.191361
    918   h1       1 0.666667   0.900 0.700000 0.700000       1 0.846154 0.769231       1     0.191361
    919   h1       1 0.666667   0.900 0.700000 0.700000       1 0.846154 0.769231       1     0.191361
    920   h1       1 0.666667   0.810 0.500000 0.700000       1 0.532764 0.376374       1     0.037898
    921   h1       1 0.947368   0.510 0.904762 0.763636       1 0.307692 0.706044       1     0.072520
    922   h1       1 1.000000   0.690 1.000000 0.800000       1 0.769231 0.769231       1     0.326627
    923   h1       1 1.000000   0.700 1.000000 0.800000       1 0.769231 0.769231       1     0.331361
    924   h1       1 1.000000   0.700 1.000000 0.800000       1 0.769231 0.769231       1     0.331361
    925   h1       1 1.000000   0.650 0.714286 0.800000       1 0.740741 0.398352       1     0.109599
    926   h1       1 0.631579   1.000 0.900000 0.668182       1 0.923077 0.620879       1     0.217676
    927   h1       1 0.666667   1.000 0.900000 0.700000       1 0.923077 0.769231       1     0.298225
    928   h1       1 0.666667   1.000 1.000000 0.700000       1 0.923077 0.769231       1     0.331361
    929   h1       1 0.666667   1.000 1.000000 0.700000       1 0.923077 0.769231       1     0.331361
    930   h1       1 0.666667   0.900 0.714286 0.700000       1 0.547009 0.500000       1     0.082051
    931   h1       1 0.736842   0.800 0.700000 0.954545       1 0.769231 0.769231       1     0.233062
    932   h1       1 0.777778   0.800 0.700000 1.000000       1 0.769231 0.769231       1     0.257725
    933   h1       1 0.777778   0.800 0.700000 1.000000       1 0.769231 0.769231       1     0.257725
    934   h1       1 0.777778   0.800 0.700000 1.000000       1 0.769231 0.769231       1     0.257725
    935   h1       1 0.777778   0.720 0.500000 1.000000       1 0.455840 0.370879       1     0.047337
