 ChipID Half   Layer0   Layer1  Layer2  Layer3   Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    812   h1 0.596491 0.947368   0.695       1 0.954545       1 0.769231 0.846154       1     0.244012
    813   h1 0.666667 1.000000   0.700       1 1.000000       1 0.769231 0.846154       1     0.303748
    814   h1 0.666667 1.000000   0.700       1 1.000000       1 0.769231 0.846154       1     0.303748
    815   h1 0.795322 0.736842   0.950       1 0.668182       1 0.769231 0.769231       1     0.220115
    816   h1 0.888889 0.777778   1.000       1 0.700000       1 0.769231 0.769231       1     0.286361
    817   h1 0.888889 0.777778   1.000       1 0.700000       1 0.769231 0.769231       1     0.286361
    818   h1 0.596491 0.947368   0.700       1 0.954545       1 0.769231 0.769231       1     0.223425
    819   h1 0.666667 1.000000   0.700       1 1.000000       1 0.769231 0.769231       1     0.276134
    820   h1 0.666667 1.000000   0.700       1 1.000000       1 0.769231 0.769231       1     0.276134
    821   h1 0.894737 0.631579   0.800       1 0.668182       1 0.769231 0.923077       1     0.214488
    822   h1 1.000000 0.666667   0.800       1 0.700000       1 0.769231 0.923077       1     0.265089
    823   h1 1.000000 0.666667   0.800       1 0.700000       1 0.769231 0.923077       1     0.265089
    860   h1 0.795322 0.631579   0.665       1 0.763636       1 0.846154 0.769231       1     0.166029
    861   h1 0.888889 0.666667   0.700       1 0.800000       1 0.846154 0.769231       1     0.215998
    862   h1 0.888889 0.666667   0.700       1 0.800000       1 0.846154 0.769231       1     0.215998
    863   h1 0.888889 0.666667   0.700       1 0.800000       1 0.846154 0.620879       1     0.174341
    864   h1 0.596491 0.947368   0.855       1 0.954545       1 1.000000 0.769231       1     0.354766
    865   h1 0.666667 1.000000   0.900       1 1.000000       1 1.000000 0.769231       1     0.461538
    866   h1 0.666667 1.000000   0.900       1 1.000000       1 1.000000 0.769231       1     0.461538
    867   h1 0.666667 1.000000   0.900       1 1.000000       1 1.000000 0.769231       1     0.461538
    868   h1 0.842105 0.573099   0.900       1 0.954545       1 0.683761 0.846154       1     0.239877
    869   h1 1.000000 0.777778   1.000       1 1.000000       1 0.769231 0.846154       1     0.506246
    870   h1 1.000000 0.777778   1.000       1 1.000000       1 0.769231 0.769231       1     0.460224
    871   h1 1.000000 0.777778   1.000       1 1.000000       1 0.769231 0.846154       1     0.506246
    872   h1 0.596491 0.666667   0.700       1 0.700000       1 0.757835 0.923077       1     0.136308
    873   h1 0.666667 0.666667   0.700       1 0.700000       1 0.769231 0.923077       1     0.154635
    874   h1 0.666667 0.666667   0.700       1 0.700000       1 0.769231 0.923077       1     0.154635
    875   h1 0.666667 0.666667   0.700       1 0.700000       1 0.769231 0.923077       1     0.154635
    876   h1 0.695906 1.000000   0.700       1 0.700000       1 0.769231 1.000000       1     0.262303
    877   h1 0.777778 1.000000   0.700       1 0.700000       1 0.769231 1.000000       1     0.293162
    878   h1 0.777778 1.000000   0.700       1 0.700000       1 0.769231 1.000000       1     0.293162
    879   h1 0.777778 1.000000   0.700       1 0.700000       1 0.769231 1.000000       1     0.293162
    880   h1 0.894737 0.649123   1.000       1 1.000000       1 0.814815 0.846154       1     0.400434
    881   h1 1.000000 0.666667   1.000       1 1.000000       1 0.846154 0.846154       1     0.477318
    882   h1 1.000000 0.666667   1.000       1 1.000000       1 0.769231 0.846154       1     0.433925
    883   h1 1.000000 0.666667   1.000       1 1.000000       1 0.769231 0.846154       1     0.433925
    884   h1 0.479532 0.736842   0.625       1 0.663636       1 0.925926 0.747253       1     0.101402
    885   h1 0.666667 1.000000   0.700       1 0.700000       1 1.000000 0.769231       1     0.251282
    886   h1 0.666667 1.000000   0.700       1 0.700000       1 1.000000 0.769231       1     0.251282
    887   h1 0.666667 1.000000   0.700       1 0.700000       1 1.000000 0.769231       1     0.251282
    888   h1 0.947368 0.947368   0.700       1 0.668182       1 0.769231 0.769231       1     0.248396
    889   h1 1.000000 1.000000   0.700       1 0.700000       1 0.769231 0.769231       1     0.289941
    890   h1 1.000000 1.000000   0.700       1 0.700000       1 0.769231 0.769231       1     0.289941
    891   h1 1.000000 1.000000   0.700       1 0.700000       1 0.769231 0.769231       1     0.289941
    892   h1 0.695906 0.631579   1.000       1 0.668182       1 0.769231 0.769231       1     0.173775
    893   h1 0.777778 0.666667   1.000       1 0.700000       1 0.769231 0.769231       1     0.214771
    894   h1 0.777778 0.666667   1.000       1 0.700000       1 0.769231 0.769231       1     0.214771
    895   h1 0.777778 0.666667   1.000       1 0.700000       1 0.555556 0.670330       1     0.135169
    916   h1 0.894737 0.631579   0.900       1 0.668182       1 0.846154 0.769231       1     0.221190
    917   h1 1.000000 0.666667   0.900       1 0.700000       1 0.846154 0.769231       1     0.273373
    918   h1 1.000000 0.666667   0.900       1 0.700000       1 0.846154 0.769231       1     0.273373
    919   h1 1.000000 0.666667   0.900       1 0.700000       1 0.846154 0.769231       1     0.273373
    920   h1 1.000000 0.666667   0.810       1 0.700000       1 0.532764 0.376374       1     0.075796
    921   h1 0.298246 0.947368   0.510       1 0.763636       1 0.307692 0.706044       1     0.023906
    922   h1 0.631579 1.000000   0.690       1 0.800000       1 0.769231 0.769231       1     0.206291
    923   h1 0.666667 1.000000   0.700       1 0.800000       1 0.769231 0.769231       1     0.220907
    924   h1 0.666667 1.000000   0.700       1 0.800000       1 0.769231 0.769231       1     0.220907
    925   h1 0.666667 1.000000   0.650       1 0.800000       1 0.740741 0.398352       1     0.102293
    926   h1 0.894737 0.631579   1.000       1 0.668182       1 0.923077 0.620879       1     0.216403
    927   h1 1.000000 0.666667   1.000       1 0.700000       1 0.923077 0.769231       1     0.331361
    928   h1 1.000000 0.666667   1.000       1 0.700000       1 0.923077 0.769231       1     0.331361
    929   h1 1.000000 0.666667   1.000       1 0.700000       1 0.923077 0.769231       1     0.331361
    930   h1 1.000000 0.666667   0.900       1 0.700000       1 0.547009 0.500000       1     0.114872
    931   h1 0.619883 0.736842   0.800       1 0.954545       1 0.769231 0.769231       1     0.206388
    932   h1 0.666667 0.777778   0.800       1 1.000000       1 0.769231 0.769231       1     0.245453
    933   h1 0.666667 0.777778   0.800       1 1.000000       1 0.769231 0.769231       1     0.245453
    934   h1 0.666667 0.777778   0.800       1 1.000000       1 0.769231 0.769231       1     0.245453
    935   h1 0.666667 0.777778   0.720       1 1.000000       1 0.455840 0.370879       1     0.063116
