 ChipID Half   Layer0   Layer1  Layer2   Layer3   Layer4  Layer5   Layer6  Layer7   Layer8  Pseaudo_Eff
    466   h0 0.666667 0.666667       1 0.700000 1.000000       1 0.769231       1 0.785714     0.188034
    467   h0 0.666667 0.666667       1 0.500000 1.000000       1 0.484330       1 0.656682     0.070678
    812   h1 0.596491 0.947368       1 0.723810 0.954545       1 0.769231       1 0.785714     0.235975
    813   h1 0.666667 1.000000       1 0.800000 1.000000       1 0.769231       1 0.785714     0.322344
    814   h1 0.666667 1.000000       1 0.800000 1.000000       1 0.769231       1 0.785714     0.322344
    815   h1 0.795322 0.736842       1 0.642857 0.668182       1 0.769231       1 0.785714     0.152141
    816   h1 0.888889 0.777778       1 0.700000 0.700000       1 0.769231       1 0.785714     0.204748
    817   h1 0.888889 0.777778       1 0.700000 0.700000       1 0.769231       1 0.785714     0.204748
    818   h1 0.596491 0.947368       1 0.666667 0.954545       1 0.769231       1 0.857143     0.237104
    819   h1 0.666667 1.000000       1 0.700000 1.000000       1 0.769231       1 0.857143     0.307692
    820   h1 0.666667 1.000000       1 0.700000 1.000000       1 0.769231       1 0.857143     0.307692
    821   h1 0.894737 0.631579       1 0.952381 0.668182       1 0.769231       1 0.857143     0.237104
    822   h1 1.000000 0.666667       1 1.000000 0.700000       1 0.769231       1 0.788018     0.282878
    823   h1 1.000000 0.666667       1 1.000000 0.700000       1 0.769231       1 0.785714     0.282051
    860   h1 0.795322 0.631579       1 0.952381 0.763636       1 0.846154       1 0.785714     0.242874
    861   h1 0.888889 0.666667       1 1.000000 0.800000       1 0.846154       1 0.785714     0.315181
    862   h1 0.888889 0.666667       1 1.000000 0.800000       1 0.846154       1 0.785714     0.315181
    863   h1 0.888889 0.666667       1 1.000000 0.800000       1 0.846154       1 0.785714     0.315181
    864   h1 0.596491 0.947368       1 0.666667 0.954545       1 1.000000       1 0.785714     0.282548
    865   h1 0.666667 1.000000       1 0.700000 1.000000       1 1.000000       1 0.785714     0.366667
    866   h1 0.666667 1.000000       1 0.700000 1.000000       1 1.000000       1 0.785714     0.366667
    867   h1 0.666667 1.000000       1 0.700000 1.000000       1 1.000000       1 0.785714     0.366667
    868   h1 0.842105 0.573099       1 0.642857 0.954545       1 0.683761       1 0.737327     0.149304
    869   h1 1.000000 0.777778       1 0.700000 1.000000       1 0.769231       1 0.785714     0.329060
    870   h1 1.000000 0.777778       1 0.700000 1.000000       1 0.769231       1 0.785714     0.329060
    871   h1 1.000000 0.777778       1 0.676190 1.000000       1 0.769231       1 0.767281     0.310410
    872   h1 0.596491 0.666667       1 0.700000 0.700000       1 0.757835       1 0.778802     0.115003
    873   h1 0.666667 0.666667       1 0.700000 0.700000       1 0.769231       1 0.785714     0.131624
    874   h1 0.666667 0.666667       1 0.700000 0.700000       1 0.769231       1 0.785714     0.131624
    875   h1 0.666667 0.666667       1 0.700000 0.700000       1 0.769231       1 0.785714     0.131624
    876   h1 0.695906 1.000000       1 1.000000 0.700000       1 0.769231       1 0.760369     0.284924
    877   h1 0.777778 1.000000       1 1.000000 0.700000       1 0.769231       1 0.785714     0.329060
    878   h1 0.777778 1.000000       1 1.000000 0.700000       1 0.769231       1 0.785714     0.329060
    879   h1 0.777778 1.000000       1 1.000000 0.700000       1 0.769231       1 0.785714     0.329060
    880   h1 0.894737 0.649123       1 0.700000 1.000000       1 0.814815       1 0.744240     0.246543
    881   h1 1.000000 0.666667       1 0.700000 1.000000       1 0.846154       1 0.785714     0.310256
