 ChipID Half   Layer0   Layer1  Layer2   Layer3  Layer4   Layer5   Layer6  Layer7   Layer8  Pseaudo_Eff
    404   h0 0.736842 0.666667   0.700 0.700000       1 0.700000 0.746439       1 0.767281     0.096500
    405   h0 0.777778 0.666667   0.700 0.700000       1 0.700000 0.769231       1 0.785714     0.107493
    406   h0 0.777778 0.666667   0.700 0.700000       1 0.700000 0.769231       1 0.785714     0.107493
    407   h0 0.777778 0.666667   0.700 0.700000       1 0.700000 0.769231       1 0.785714     0.107493
    408   h0 0.736842 0.947368   0.700 1.000000       1 1.000000 0.746439       1 0.767281     0.279860
    409   h0 0.777778 1.000000   0.700 1.000000       1 1.000000 0.769231       1 0.785714     0.329060
    410   h0 0.777778 1.000000   0.700 1.000000       1 1.000000 0.769231       1 0.785714     0.329060
    411   h0 0.777778 1.000000   0.700 1.000000       1 1.000000 0.769231       1 0.785714     0.329060
    412   h0 0.947368 0.654971   1.000 0.700000       1 0.700000 0.712251       1 0.767281     0.166159
    413   h0 1.000000 0.666667   1.000 0.700000       1 0.700000 0.769231       1 0.785714     0.197436
    414   h0 1.000000 0.666667   1.000 0.700000       1 0.700000 0.769231       1 0.785714     0.197436
    415   h0 1.000000 0.666667   1.000 0.700000       1 0.700000 0.769231       1 0.758065     0.190488
    416   h0 0.502924 0.684211   0.610 0.647619       1 0.618182 0.888889       1 0.682028     0.050946
    417   h0 0.666667 1.000000   0.700 0.800000       1 0.700000 0.923077       1 0.785714     0.189538
    418   h0 0.666667 1.000000   0.700 0.800000       1 0.700000 0.923077       1 0.785714     0.189538
    419   h0 0.666667 1.000000   0.700 0.800000       1 0.700000 0.923077       1 0.785714     0.189538
    420   h0 0.842105 0.947368   0.665 0.857143       1 0.659091 0.740741       1 0.785714     0.174436
    421   h0 0.888889 1.000000   0.700 0.900000       1 0.700000 0.769231       1 0.785714     0.236923
    422   h0 0.888889 1.000000   0.700 0.900000       1 0.700000 0.769231       1 0.785714     0.236923
    423   h0 0.888889 1.000000   0.700 0.900000       1 0.700000 0.769231       1 0.852535     0.257072
    424   h0 0.842105 0.631579   0.950 0.857143       1 0.909091 0.740741       1 0.785714     0.229144
    425   h0 0.888889 0.666667   1.000 0.900000       1 1.000000 0.769231       1 0.785714     0.322344
