ChipID	Half	Layer0	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Peff(%)	Peff_Original(%)
229	h0	0.952	0.571	0.607	0.87	0.697	0.873	0.0	1.0	1	0.0	7.49
230	h0	1.0	0.648	0.636	0.909	0.727	0.909	0.0	1.0	1	0.0	10.62
231	h0	1.0	0.7	0.579	0.711	0.515	0.606	0.0	0.929	1	0.0	3.58
232	h0	0.667	0.762	0.694	0.957	0.958	0.698	0.0	0.968	1	0.0	17.17
233	h0	0.7	0.757	0.727	1.0	1.0	0.727	0.0	0.929	1	0.0	20.45
234	h0	0.7	0.7	0.678	0.783	1.0	0.667	0.0	0.929	1	0.0	12.67
235	h0	0.667	0.952	0.955	0.696	0.697	0.698	0.0	0.968	1	0.0	15.62
236	h0	0.7	1.0	1.0	0.727	0.727	0.727	0.0	0.929	1	0.0	19.64
237	h0	0.7	1.0	1.0	0.688	0.727	0.727	0.0	0.929	1	0.0	18.59
238	h0	0.952	0.952	0.781	0.696	0.784	0.697	0.829	0.968	1	21.6	21.6
239	h0	1.0	1.0	0.773	0.727	0.818	0.727	0.857	1.0	1	28.64	28.64
240	h0	1.0	1.0	0.711	0.708	0.818	0.727	0.857	1.0	1	25.65	25.65
241	h0	0.952	0.667	0.868	0.957	0.697	0.697	0.929	0.968	1	23.04	23.04
242	h0	0.957	0.7	0.959	1.0	0.727	0.727	0.929	1.0	1	31.54	31.54
243	h0	0.9	0.7	0.909	0.783	0.595	0.697	0.929	1.0	1	17.28	17.28
288	h0	0.952	0.667	0.694	0.696	0.697	0.873	0.0	0.968	1	0.0	14.2
289	h0	1.0	0.7	0.727	0.727	0.727	0.909	0.0	1.0	1	0.0	19.22
290	h0	1.0	0.7	0.727	0.727	0.758	0.909	0.0	1.0	1	0.0	20.04
291	h0	1.0	0.7	0.727	0.727	0.818	0.871	0.0	0.929	1	0.0	19.25
292	h0	0.667	0.667	0.694	0.957	0.697	0.96	0.286	0.968	1	5.47	15.04
293	h0	0.7	0.7	0.727	1.0	0.727	1.0	0.286	1.0	1	7.41	20.36
294	h0	0.7	0.7	0.727	1.0	0.701	1.0	0.286	1.0	1	7.14	19.63
295	h0	0.7	0.7	0.727	1.0	0.64	1.0	0.286	1.0	1	6.52	17.92
296	h0	0.667	0.952	0.868	0.783	0.958	0.697	0.62	0.968	1	17.29	17.29
297	h0	0.7	1.0	0.909	0.818	1.0	0.727	0.786	1.0	1	29.74	29.74
298	h0	0.7	1.0	0.909	0.818	1.0	0.727	0.786	1.0	1	29.74	29.74
299	h0	0.7	1.0	0.909	0.818	1.0	0.727	0.786	1.0	1	29.74	29.74
300	h0	0.81	0.529	0.785	0.664	0.75	0.693	0.724	1.0	1	8.4	8.4
301	h0	1.0	0.7	0.909	0.727	0.909	0.727	0.786	1.0	1	24.03	24.03
302	h0	1.0	0.7	0.909	0.727	0.909	0.727	0.786	1.0	1	24.03	24.03
303	h0	1.0	0.681	0.909	0.522	0.909	0.727	0.767	1.0	1	16.38	16.38
304	h0	0.652	0.7	0.727	0.818	0.636	0.818	0.781	1.0	1	11.03	11.03
305	h0	0.7	0.7	0.727	0.818	0.636	0.818	0.786	1.0	1	11.92	11.92
306	h0	0.7	0.7	0.727	0.818	0.636	0.818	0.786	1.0	1	11.92	11.92
307	h0	0.7	0.7	0.727	0.818	0.534	0.589	0.786	1.0	1	7.2	7.2
308	h0	0.762	0.952	0.818	1.0	0.818	1.0	0.76	0.968	1	35.71	35.71
309	h0	0.8	1.0	0.818	1.0	0.818	1.0	0.786	1.0	1	42.07	42.07
310	h0	0.8	1.0	0.818	1.0	0.818	1.0	0.786	1.0	1	42.07	42.07
